                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |     121054 |     121035 |     120962 |     120935 |     120899 |     121696 |     121574 |     121473 |     121358 |     121380 |     121302 |     121209 |     121153 |     121166
  Cycles                             |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036 |     491036
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600 |     184600
  Idle time (ns)                     |        106 |         70 |         26 |         13 |        -16 |        -40 |        -40 |         59 |         82 |         11 |         -3 |         59 |        106 |         -3
  Idle time (%)                      |       0.1% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.1% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21956 |      21953 |      21945 |      21943 |      21942 |      22023 |      22015 |      22004 |      21995 |      21996 |      21985 |      21977 |      21970 |      21972
  num incorrect                      |       1455 |       1454 |       1447 |       1442 |       1440 |       1503 |       1496 |       1486 |       1473 |       1479 |       1469 |       1460 |       1458 |       1458
  misprediction rate                 |      6.22% |      6.21% |      6.19% |      6.17% |      6.16% |      6.39% |      6.36% |      6.33% |      6.28% |      6.30% |      6.26% |      6.23% |      6.22% |      6.22%
  mpki                               |      12.02 |      12.01 |      11.96 |      11.92 |      11.91 |      12.35 |      12.31 |      12.23 |      12.14 |      12.18 |      12.11 |      12.05 |      12.03 |      12.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15221 |      15218 |      15200 |      15193 |      15187 |      15330 |      15319 |      15299 |      15279 |      15282 |      15267 |      15248 |      15242 |      15244
    num misses                       |         49 |         49 |         49 |         49 |         49 |         52 |         51 |         51 |         50 |         50 |         50 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.40 |       0.40 |       0.41 |       0.41 |       0.41 |       0.43 |       0.42 |       0.42 |       0.41 |       0.41 |       0.41 |       0.40 |       0.40 |       0.40
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39982 |      39973 |      39945 |      39938 |      39925 |      40237 |      40181 |      40181 |      40125 |      40133 |      40095 |      40047 |      40023 |      40029
    num misses                       |        117 |        117 |        117 |        117 |        117 |        118 |        118 |        118 |        118 |        118 |        118 |        117 |        117 |        117
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
