                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   60121634 |   60120944 |   60120457 |   60114622 |   60119227 |   60111232 |   60109213
  Cycles                             |  140794864 |  140794864 |  140794864 |  140794864 |  140794864 |  140794864 |  140794864
  IPC                                |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43 |       0.43
  Time (ns)                          |   52930400 |   52930400 |   52930400 |   52930400 |   52930400 |   52930400 |   52930400
  Idle time (ns)                     |        -76 |        149 |         -6 |        -13 |        -36 |        -76 |        -36
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |   10022010 |   10021931 |   10021876 |   10020903 |   10021671 |   10020340 |   10020003
  num incorrect                      |       1516 |       1456 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15196 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         49 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      40211 |      39936 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        159 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        211 |        207 |        206 |        206 |        206 |        206 |        206
    num misses                       |        127 |        123 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     60.19% |     59.42% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15196 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       4991 |       5165 |       5400 |       5332 |       5449 |       5165 |       4920
    miss rate                        |     32.55% |     33.99% |     35.61% |     35.16% |     35.93% |     34.06% |     32.45%
    mpki                             |       0.08 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      40211 |      39936 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       4399 |       4511 |       4584 |       4489 |       4577 |       4436 |       4333
    miss rate                        |     10.94% |     11.30% |     11.50% |     11.27% |     11.49% |     11.13% |     10.87%
    mpki                             |       0.07 |       0.08 |       0.08 |       0.07 |       0.08 |       0.07 |       0.07
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       9425 |       9709 |      10016 |       9852 |      10058 |       9634 |       9286
    num cache misses                 |       3657 |       3636 |       3643 |       3626 |       3636 |       3616 |       3580
    miss rate                        |     38.80% |     37.45% |     36.37% |     36.80% |     36.15% |     37.53% |     38.55%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3694 |       3673 |       3679 |       3662 |       3672 |       3652 |       3616
    num cache misses                 |       2479 |       2429 |       2413 |       2413 |       2413 |       2413 |       2413
    miss rate                        |     67.11% |     66.13% |     65.59% |     65.89% |     65.71% |     66.07% |     66.73%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      16977 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.96 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.53 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1145 |       1139 |       1141 |       1138 |       1136 |       1141 |       1139
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
