                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |     121302 |     121064 |     121700
  Cycles                             |     114114 |     114114 |     114114
  IPC                                |       1.06 |       1.06 |       1.07
  Time (ns)                          |      42900 |      42900 |      42900
  Idle time (ns)                     |        -67 |        -45 |        -97
  Idle time (%)                      |      -0.2% |      -0.1% |      -0.2%
Branch predictor stats               |            |            |           
  num correct                        |      21988 |      21960 |      22023
  num incorrect                      |       1470 |       1455 |       1503
  misprediction rate                 |      6.27% |      6.21% |      6.39%
  mpki                               |      12.12 |      12.02 |      12.35
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15270 |      15224 |      15330
    num misses                       |         50 |         49 |         52
    miss rate                        |      0.33% |      0.32% |      0.34%
    mpki                             |       0.41 |       0.40 |       0.43
  D-TLB                              |            |            |           
    num accesses                     |      40092 |      39981 |      40237
    num misses                       |        118 |        117 |        118
    miss rate                        |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |           
    num accesses                     |        168 |        166 |        170
    num misses                       |        119 |        117 |        121
    miss rate                        |     70.83% |     70.48% |     71.18%
    mpki                             |       0.98 |       0.97 |       0.99
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15270 |      15224 |      15330
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |      40092 |      39981 |      40237
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
