                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
    num cache accesses               |    2119778 |    2119816 |    2119831 |    2120088 |    2119876 |    2120025 |    2120022 |    2119892 |    2119816 |    2120046 |    2119933 |    2119815 |    2119848 |    2119941 |    2120121
    num cache misses                 |       3776 |       3776 |       3776 |       3799 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3828
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3794 |       3794 |       3794 |       3819 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3794 |       3852
    num cache misses                 |       3776 |       3776 |       3776 |       3797 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3776 |       3826
    miss rate                        |     99.53% |     99.53% |     99.53% |     99.42% |     99.53% |     99.53% |     99.53% |     99.53% |     99.53% |     99.53% |     99.53% |     99.53% |     99.53% |     99.53% |     99.33%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14222 |          0 |          0 |          0 |      14134 |          0 |          0 |          0 |      14147 |          0 |          0 |          0 |      14208 |          0 |          0
  average dram access latency (ns)   |      75.87 |        inf |        inf |        inf |      67.58 |        inf |        inf |        inf |      72.58 |        inf |        inf |        inf |      71.19 |        inf |        inf
  average dram queueing delay        |      22.44 |       0.00 |       0.00 |       0.00 |      14.15 |       0.00 |       0.00 |       0.00 |      19.15 |       0.00 |       0.00 |       0.00 |      17.76 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        151 |        151 |        151 |        154 |        151 |        151 |        151 |        151 |        151 |        151 |        151 |        151 |        151 |        151 |        165
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
