                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28752926 |   28748814 |   28739263 |   28735626 |   28757552 |   28757070 |   28758625 |   28749153 |   28746873 |   28745005 |   28747399 |   28732209 |   28751944 |   28758311 |   28759962 |   28755390
  Cycles                             |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968 |  192250968
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800 |   72274800
  Idle time (ns)                     |         77 |          4 |        167 |          4 |        -69 |         27 |          0 |        -35 |        189 |        -10 |        110 |        -35 |        -69 |        -42 |        -69 |        108
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059531 |    1059450 |    1059265 |    1059193 |    1059620 |    1059611 |    1059641 |    1059457 |    1059413 |    1059375 |    1059423 |    1059126 |    1059510 |    1059635 |    1059719 |    1059578
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2875727 |    2875409 |    2874673 |    2874391 |    2876083 |    2876047 |    2876166 |    2875436 |    2875260 |    2875114 |    2875300 |    2874126 |    2875649 |    2876142 |    2876325 |    2875916
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15774546 |   15772404 |   15767444 |   15765549 |   15776941 |   15776702 |   15777511 |   15772588 |   15771403 |   15770428 |   15771676 |   15763779 |   15774030 |   15777336 |   15778141 |   15775826
    num misses                       |       6320 |       6309 |       6287 |       6277 |       6328 |       6327 |       6330 |       6310 |       6305 |       6299 |       6305 |       6268 |       6317 |       6329 |       6344 |       6324
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6381 |       6370 |       6348 |       6338 |       6389 |       6388 |       6391 |       6371 |       6366 |       6360 |       6366 |       6329 |       6378 |       6390 |       6407 |       6385
    num misses                       |        321 |        321 |        320 |        320 |        321 |        321 |        321 |        321 |        321 |        320 |        321 |        319 |        321 |        321 |        333 |        321
    miss rate                        |      5.03% |      5.04% |      5.04% |      5.05% |      5.02% |      5.03% |      5.02% |      5.04% |      5.04% |      5.03% |      5.04% |      5.04% |      5.03% |      5.02% |      5.20% |      5.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2875727 |    2875409 |    2874673 |    2874391 |    2876083 |    2876047 |    2876166 |    2875436 |    2875260 |    2875114 |    2875300 |    2874126 |    2875649 |    2876142 |    2876325 |    2875916
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15774546 |   15772404 |   15767444 |   15765549 |   15776941 |   15776702 |   15777511 |   15772588 |   15771403 |   15770428 |   15771676 |   15763779 |   15774030 |   15777336 |   15778141 |   15775826
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
