                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   78256604 |   78256506 |   78256678 |   78256604
  Cycles                             |   31879302 |   31879302 |   31879302 |   31879302
  IPC                                |       2.45 |       2.45 |       2.45 |       2.45
  Time (ns)                          |   11984700 |   11984700 |   11984700 |   11984700
  Idle time (ns)                     |          1 |        -29 |        124 |        -15
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    2171899 |    2171885 |    2171907 |    2171899
  num incorrect                      |       1013 |       1005 |       1022 |       1013
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    8525004 |    8524986 |    8525013 |    8525004
    num misses                       |         42 |         41 |         43 |         42
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   36055615 |   36055565 |   36055649 |   36055615
    num misses                       |         71 |         71 |         71 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |        113 |        112 |        114 |        113
    num misses                       |        111 |        110 |        112 |        111
    miss rate                        |     98.23% |     98.21% |     98.25% |     98.23%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    8525004 |    8524986 |    8525013 |    8525004
    num cache misses                 |        467 |        456 |        474 |        467
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   36055615 |   36055565 |   36055649 |   36055615
    num cache misses                 |    2119623 |    2119613 |    2119624 |    2119623
    miss rate                        |      5.88% |      5.88% |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09 |      27.09 |      27.09
  Cache L2                           |            |            |            |           
    num cache accesses               |    2120110 |    2120088 |    2120121 |    2120110
    num cache misses                 |       3820 |       3799 |       3828 |       3820
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |       3841 |       3819 |       3852 |       3841
    num cache misses                 |       3818 |       3797 |       3826 |       3818
    miss rate                        |     99.40% |     99.42% |     99.33% |     99.40%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |      15259 |          0 |          0 |          0
  average dram access latency (ns)   |      78.33 |        inf |        inf |        inf
  average dram queueing delay        |      24.90 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        164 |        154 |        165 |        164
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
