                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   60112510 |   60095574 |   60121669 |   60079938 |   60120462 |   60083023 |   60080760 |   60087478 |   60094881 |   60078982 |   60080680 |   60098222 |   60078152 |   60080388 |   60078672
  Cycles                             |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194 |  301194194
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900 |  113230900
  Idle time (ns)                     |         -3 |         65 |        -75 |        -13 |         65 |        -75 |         96 |         16 |        137 |        127 |          4 |        126 |         45 |         -8 |        -13
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10020550 |   10017728 |   10022009 |   10015121 |   10021875 |   10015636 |   10015258 |   10016378 |   10017612 |   10014962 |   10015245 |   10018168 |   10014824 |   10015197 |   10014911
  num incorrect                      |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         48 |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39846 |      39846 |      40234 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846 |      39846
