                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9978683 |    9977313 |    9959456 |    9979036
  Cycles                             |   16510886 |   16510886 |   16510886 |   16510886
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |    6207100 |    6207100 |    6207100 |    6207100
  Idle time (ns)                     |         32 |        -35 |         -5 |        -35
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     301022 |     300943 |     300449 |     301064
  num incorrect                      |       1507 |       1467 |       1467 |       1544
  misprediction rate                 |      0.50% |      0.49% |      0.49% |      0.51%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1097114 |    1096933 |    1094985 |    1097185
    num misses                       |         50 |         48 |         48 |         52
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    4596129 |    4595558 |    4587354 |    4596294
    num misses                       |         93 |         92 |         92 |         94
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |           
    num accesses                     |        143 |        140 |        140 |        146
    num misses                       |        131 |        129 |        129 |        134
    miss rate                        |     91.61% |     92.14% |     92.14% |     91.78%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1097114 |    1096933 |    1094985 |    1097185
    num cache misses                 |       1661 |       1527 |       1673 |       1754
    miss rate                        |      0.15% |      0.14% |      0.15% |      0.16%
    mpki                             |       0.17 |       0.15 |       0.17 |       0.18
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4596129 |    4595558 |    4587354 |    4596294
    num cache misses                 |     162040 |     222679 |     206243 |     246354
    miss rate                        |      3.53% |      4.85% |      4.50% |      5.36%
    mpki                             |      16.24 |      22.32 |      20.71 |      24.69
  Cache L2                           |            |            |            |           
    num cache accesses               |     163740 |     224245 |     207954 |     248149
    num cache misses                 |       3754 |       3673 |       3680 |       3786
    miss rate                        |      2.29% |      1.64% |      1.77% |      1.53%
    mpki                             |       0.38 |       0.37 |       0.37 |       0.38
  Cache L3                           |            |            |            |           
    num cache accesses               |       3794 |       3714 |       3720 |       3829
    num cache misses                 |       3183 |       3153 |       3153 |       3219
    miss rate                        |     83.90% |     84.89% |     84.76% |     84.07%
    mpki                             |       0.32 |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |            |           
  num dram accesses                  |      12708 |          0 |          0 |          0
  average dram access latency (ns)   |      66.89 |        inf |        inf |        inf
  average dram queueing delay        |      13.46 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1132 |       1139 |       1142 |       1146
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
