                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |      90555 |      84795 |      85864 |      82988 |      83914 |      87410 |      83178
  Cycles                             |     482258 |     482258 |     482258 |     482258 |     482258 |     482258 |     482258
  IPC                                |       0.19 |       0.18 |       0.18 |       0.17 |       0.17 |       0.18 |       0.17
  Time (ns)                          |     181300 |     181300 |     181300 |     181300 |     181300 |     181300 |     181300
  Idle time (ns)                     |        -84 |        -57 |         -0 |        -39 |        -66 |        -84 |         -0
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      19646 |      18528 |      18741 |      18167 |      18352 |      19051 |      18205
  num incorrect                      |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.23% |      5.34% |      5.29% |      5.44% |      5.39% |      5.20% |      5.43%
  mpki                               |      11.98 |      12.34 |      12.18 |      12.60 |      12.47 |      11.97 |      12.58
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         45 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.50 |       0.50 |       0.49 |       0.51 |       0.50 |       0.48 |       0.50
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      69706 |      63060 |      64354 |      60904 |      62017 |      66193 |      61136
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.25 |       0.24 |       0.25 |       0.25 |       0.24 |       0.25
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |         66 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         66 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.74 |       0.73 |       0.76 |       0.75 |       0.72 |       0.76
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1371 |       1554 |       1517 |       1521 |       1525 |       1405 |       1546
    miss rate                        |     28.22% |     32.39% |     31.62% |     31.70% |     31.78% |     29.28% |     32.22%
    mpki                             |      15.14 |      18.33 |      17.67 |      18.33 |      18.17 |      16.07 |      18.59
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      69706 |      63060 |      64354 |      60904 |      62017 |      66193 |      61136
    num cache misses                 |       1057 |       1144 |       1113 |       1129 |       1124 |       1066 |       1156
    miss rate                        |      1.52% |      1.81% |      1.73% |      1.85% |      1.81% |      1.61% |      1.89%
    mpki                             |      11.67 |      13.49 |      12.96 |      13.60 |      13.39 |      12.20 |      13.90
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |       2448 |       2717 |       2647 |       2668 |       2666 |       2488 |       2719
    num cache misses                 |        977 |        998 |        985 |        997 |        990 |        957 |        995
    miss rate                        |     39.91% |     36.73% |     37.21% |     37.37% |     37.13% |     38.46% |     36.59%
    mpki                             |      10.79 |      11.77 |      11.47 |      12.01 |      11.80 |      10.95 |      11.96
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |        999 |       1019 |       1005 |       1017 |       1010 |        976 |       1015
    num cache misses                 |        761 |        712 |        712 |        712 |        712 |        712 |        712
    miss rate                        |     76.18% |     69.87% |     70.85% |     70.01% |     70.50% |     72.95% |     70.15%
    mpki                             |       8.40 |       8.40 |       8.29 |       8.58 |       8.48 |       8.15 |       8.56
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |       5033 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     102.83 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      49.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     23.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |        181 |        166 |        165 |        165 |        161 |        166 |        168
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
