                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   78179648 |   78048797 |   78070718 |   78256665 |   78190350 |   78188831 |   78189018
  Cycles                             |  248364200 |  248364200 |  248364200 |  248364200 |  248364200 |  248364200 |  248364200
  IPC                                |       0.31 |       0.31 |       0.31 |       0.32 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   93370000 |   93370000 |   93370000 |   93370000 |   93370000 |   93370000 |   93370000
  Idle time (ns)                     |         92 |         55 |         42 |        -71 |         55 |        -71 |         14
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    2169774 |    2166194 |    2166793 |    2171907 |    2170068 |    2170026 |    2170031
  num incorrect                      |        981 |        981 |        981 |       1022 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    8516624 |    8502411 |    8504791 |    8525013 |    8517788 |    8517622 |    8517642
    num misses                       |         40 |         40 |         40 |         43 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   36020230 |   35960066 |   35970148 |   36055594 |   36025153 |   36024442 |   36024538
    num misses                       |         69 |         69 |         69 |         71 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        114 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        112 |        109 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    8516624 |    8502411 |    8504791 |    8525013 |    8517788 |    8517622 |    8517642
    num cache misses                 |    2804415 |    2804215 |    2789371 |    2782817 |    2771777 |    2764951 |    2759213
    miss rate                        |     32.93% |     32.98% |     32.80% |     32.64% |     32.54% |     32.46% |     32.39%
    mpki                             |      35.87 |      35.93 |      35.73 |      35.56 |      35.45 |      35.36 |      35.29
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   36020230 |   35960066 |   35970148 |   36055594 |   36025153 |   36024442 |   36024538
    num cache misses                 |    2525022 |    2460842 |    2505592 |    2493314 |    2527480 |    2533102 |    2531308
    miss rate                        |      7.01% |      6.84% |      6.97% |      6.92% |      7.02% |      7.03% |      7.03%
    mpki                             |      32.30 |      31.53 |      32.09 |      31.86 |      32.32 |      32.40 |      32.37
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    5329450 |    5265070 |    5294977 |    5276148 |    5299271 |    5298066 |    5290534
    num cache misses                 |     661608 |     593775 |     691325 |     640059 |     712077 |     739410 |     738679
    miss rate                        |     12.41% |     11.28% |     13.06% |     12.13% |     13.44% |     13.96% |     13.96%
    mpki                             |       8.46 |       7.61 |       8.86 |       8.18 |       9.11 |       9.46 |       9.45
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     661622 |     593789 |     691340 |     640077 |     712092 |     739424 |     738693
    num cache misses                 |       3776 |       3774 |       3774 |       3820 |       3776 |       3776 |       3776
    miss rate                        |      0.57% |      0.64% |      0.55% |      0.60% |      0.53% |      0.51% |      0.51%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      26472 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      62.87 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       9.44 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1183 |       1167 |       1187 |       1193 |       1185 |       1187 |       1178
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
