                                     | Core 0     | Core 1    
  Instructions                       |    6728735 |    6728484
  Cycles                             |    6048574 |    6048574
  IPC                                |       1.11 |       1.11
  Time (ns)                          |    2273900 |    2273900
  Idle time (ns)                     |        231 |        -47
  Idle time (%)                      |       0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |     259678 |     259647
  num incorrect                      |       3961 |       3935
  misprediction rate                 |      1.50% |      1.49%
  mpki                               |       0.59 |       0.58
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |     680639 |     680593
    num misses                       |         62 |         60
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3650253 |    3650121
    num misses                       |        107 |        107
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02
  L2 TLB                             |            |           
    num accesses                     |        169 |        167
    num misses                       |        147 |        146
    miss rate                        |     86.98% |     87.43%
    mpki                             |       0.02 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     680639 |     680593
    num cache misses                 |       1088 |       1062
    miss rate                        |      0.16% |      0.16%
    mpki                             |       0.16 |       0.16
  Cache L1-D                         |            |           
    num cache accesses               |    3650253 |    3650121
    num cache misses                 |      15003 |      14983
    miss rate                        |      0.41% |      0.41%
    mpki                             |       2.23 |       2.23
  Cache L2                           |            |           
    num cache accesses               |      16130 |      16080
    num cache misses                 |      11124 |      11109
    miss rate                        |     68.96% |     69.09%
    mpki                             |       1.65 |       1.65
  Cache L3                           |            |           
    num cache accesses               |      11528 |      11495
    num cache misses                 |       4402 |       4367
    miss rate                        |     38.19% |     37.99%
    mpki                             |       0.65 |       0.65
DRAM summary                         |            |           
  num dram accesses                  |       8769 |          0
  average dram access latency (ns)   |      61.38 |        inf
  average dram queueing delay        |       7.95 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1280 |       1270
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
