                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |      83174 |      84830 |      83430 |      86264 |      87514 |      90354 |      68225 |      86747 |      85465 |      85125 |      90578 |      79809 |      83987 |      85590
  Cycles                             |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554 |    1667554
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900 |     626900
  Idle time (ns)                     |        239 |        514 |        445 |        198 |        445 |        822 |        150 |         89 |        318 |        102 |        -12 |        318 |        -12 |        167
  Idle time (%)                      |       0.0% |       0.1% |       0.1% |       0.0% |       0.1% |       0.1% |       0.0% |       0.0% |       0.1% |       0.0% |      -0.0% |       0.1% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18203 |      18534 |      18254 |      18822 |      19072 |      19624 |      15214 |      18918 |      18661 |      18594 |      19646 |      17531 |      18366 |      18686
  num incorrect                      |       1046 |       1046 |       1046 |       1046 |       1046 |       1067 |       1046 |       1046 |       1046 |       1046 |       1085 |       1046 |       1046 |       1046
  misprediction rate                 |      5.43% |      5.34% |      5.42% |      5.26% |      5.20% |      5.16% |      6.43% |      5.24% |      5.31% |      5.33% |      5.23% |      5.63% |      5.39% |      5.30%
  mpki                               |      12.58 |      12.33 |      12.54 |      12.13 |      11.95 |      11.81 |      15.33 |      12.06 |      12.24 |      12.29 |      11.98 |      13.11 |      12.45 |      12.22
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4798 |       4798 |       4798 |       4832 |       4798 |       4798 |       4798 |       4798 |       4859 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         42 |         42 |         42 |         43 |         42 |         42 |         42 |         42 |         45 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.89% |      0.88% |      0.88% |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.88%
