                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   12621661 |   12587467 |   12601915 |   12587127 |   12595639 |   12580282 |   12583607 |   12581352 |   12576981 |   12583159 |   12575972
  Cycles                             |   46781154 |   46781154 |   46781154 |   46781154 |   46781154 |   46781154 |   46781154 |   46781154 |   46781154 |   46781154 |   46781154
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   17586900 |   17586900 |   17586900 |   17586900 |   17586900 |   17586900 |   17586900 |   17586900 |   17586900 |   17586900 |   17586900
  Idle time (ns)                     |        -71 |         11 |         11 |        -12 |         67 |        -12 |        -71 |         55 |         28 |        -29 |        -71
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2522009 |    2515269 |    2518159 |    2515201 |    2516903 |    2513832 |    2514497 |    2514046 |    2513172 |    2514408 |    2512971
  num incorrect                      |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40220 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num misses                       |         74 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121 |        121
    num misses                       |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     96.03% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87% |     95.87%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5342 |       6053 |       5405 |       5849 |       5752 |       5955 |       6111 |       5892 |       5350 |       6084 |       5666
    miss rate                        |     34.84% |     39.92% |     35.64% |     38.57% |     37.93% |     39.27% |     40.30% |     38.86% |     35.28% |     40.12% |     37.36%
    mpki                             |       0.42 |       0.48 |       0.43 |       0.46 |       0.46 |       0.47 |       0.49 |       0.47 |       0.43 |       0.48 |       0.45
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40220 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841 |      39841
    num cache misses                 |       6780 |       7286 |       6878 |       7237 |       7127 |       7342 |       7393 |       7284 |       6903 |       7402 |       7076
    miss rate                        |     16.86% |     18.29% |     17.26% |     18.16% |     17.89% |     18.43% |     18.56% |     18.28% |     17.33% |     18.58% |     17.76%
    mpki                             |       0.54 |       0.58 |       0.55 |       0.57 |       0.57 |       0.58 |       0.59 |       0.58 |       0.55 |       0.59 |       0.56
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12155 |      13371 |      12314 |      13116 |      12909 |      13327 |      13534 |      13206 |      12284 |      13516 |      12772
    num cache misses                 |       9407 |      10131 |       9798 |      10258 |       9796 |      10270 |      10163 |      10181 |       9490 |      10341 |       9761
    miss rate                        |     77.39% |     75.77% |     79.57% |     78.21% |     75.89% |     77.06% |     75.09% |     77.09% |     77.25% |     76.51% |     76.42%
    mpki                             |       0.75 |       0.80 |       0.78 |       0.81 |       0.78 |       0.82 |       0.81 |       0.81 |       0.75 |       0.82 |       0.78
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       9443 |      10163 |       9832 |      10291 |       9827 |      10302 |      10193 |      10213 |       9523 |      10372 |       9794
    num cache misses                 |       2615 |       2537 |       2548 |       2552 |       2543 |       2561 |       2557 |       2552 |       2545 |       2555 |       2552
    miss rate                        |     27.69% |     24.96% |     25.92% |     24.80% |     25.88% |     24.86% |     25.09% |     24.99% |     26.72% |     24.63% |     26.06%
    mpki                             |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      28323 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
