                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     121683 |     121593 |     119172 |     120882
  Cycles                             |     665798 |     665798 |     665798 |     665798
  IPC                                |       0.18 |       0.18 |       0.18 |       0.18
  Time (ns)                          |     250300 |     250300 |     250300 |     250300
  Idle time (ns)                     |       -963 |        -14 |        -14 |       -963
  Idle time (%)                      |      -0.4% |      -0.0% |      -0.0% |      -0.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      22023 |      22021 |      21650 |      21930
  num incorrect                      |       1503 |       1503 |       1369 |       1436
  misprediction rate                 |      6.39% |      6.39% |      5.95% |      6.15%
  mpki                               |      12.35 |      12.36 |      11.49 |      11.88
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15330 |      15327 |      15022 |      15182
    num misses                       |         52 |         51 |         45 |         49
    miss rate                        |      0.34% |      0.33% |      0.30% |      0.32%
    mpki                             |       0.43 |       0.42 |       0.38 |       0.41
  D-TLB                              |            |            |            |           
    num accesses                     |      40230 |      40243 |      39552 |      39879
    num misses                       |        118 |        118 |        116 |        117
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |           
    num accesses                     |        170 |        169 |        161 |        166
    num misses                       |        121 |        120 |        114 |        117
    miss rate                        |     71.18% |     71.01% |     70.81% |     70.48%
    mpki                             |       0.99 |       0.99 |       0.96 |       0.97
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15330 |      15327 |      15022 |      15182
    num cache misses                 |       1636 |       1616 |       1418 |       1576
    miss rate                        |     10.67% |     10.54% |      9.44% |     10.38%
    mpki                             |      13.44 |      13.29 |      11.90 |      13.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40230 |      40243 |      39552 |      39879
    num cache misses                 |       2923 |       2902 |       2823 |       2910
    miss rate                        |      7.27% |      7.21% |      7.14% |      7.30%
    mpki                             |      24.02 |      23.87 |      23.69 |      24.07
  Cache L2                           |            |            |            |           
    num cache accesses               |       4595 |       4555 |       4274 |       4520
    num cache misses                 |       2821 |       2837 |       2705 |       2778
    miss rate                        |     61.39% |     62.28% |     63.29% |     61.46%
    mpki                             |      23.18 |      23.33 |      22.70 |      22.98
  Cache L3                           |            |            |            |           
    num cache accesses               |       2860 |       2876 |       2741 |       2815
    num cache misses                 |       2475 |       2473 |       2365 |       2422
    miss rate                        |     86.54% |     85.99% |     86.28% |     86.04%
    mpki                             |      20.34 |      20.34 |      19.85 |      20.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9735 |          0 |          0 |          0
  average dram access latency (ns)   |      70.57 |        inf |        inf |        inf
  average dram queueing delay        |      17.14 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     32.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1135 |       1133 |       1124 |       1128
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
