                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |   28759527 |   28759933 |   28715242 |   28727985 |   28726588 |   28737485 |   28755407
  Cycles                             |   94107076 |   94107076 |   94107076 |   94107076 |   94107076 |   94107076 |   94107076
  IPC                                |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31 |       0.31
  Time (ns)                          |   35378600 |   35378600 |   35378600 |   35378600 |   35378600 |   35378600 |   35378600
  Idle time (ns)                     |         36 |        -76 |        -77 |        -13 |        -22 |        -76 |         28
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |    1059677 |    1059719 |    1058794 |    1059045 |    1059018 |    1059229 |    1059579
  num incorrect                      |       7971 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    2876258 |    2876325 |    2872810 |    2873801 |    2873694 |    2874534 |    2875919
    num misses                       |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |   15777934 |   15778126 |   15754912 |   15761587 |   15760862 |   15766507 |   15775841
    num misses                       |       6334 |       6344 |       6231 |       6261 |       6258 |       6282 |       6324
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |       6395 |       6407 |       6292 |       6322 |       6319 |       6343 |       6385
    num misses                       |        322 |        333 |        318 |        319 |        319 |        320 |        321
    miss rate                        |      5.04% |      5.20% |      5.05% |      5.05% |      5.05% |      5.04% |      5.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |    2876258 |    2876325 |    2872810 |    2873801 |    2873694 |    2874534 |    2875919
    num cache misses                 |    1104713 |    1102602 |    1110885 |    1109852 |    1106729 |    1107184 |    1099184
    miss rate                        |     38.41% |     38.33% |     38.67% |     38.62% |     38.51% |     38.52% |     38.22%
    mpki                             |      38.41 |      38.34 |      38.69 |      38.63 |      38.53 |      38.53 |      38.23
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |   15777934 |   15778126 |   15754912 |   15761587 |   15760862 |   15766507 |   15775841
    num cache misses                 |     170232 |     168462 |     169668 |     171208 |     171071 |     170471 |     169565
    miss rate                        |      1.08% |      1.07% |      1.08% |      1.09% |      1.09% |      1.08% |      1.07%
    mpki                             |       5.92 |       5.86 |       5.91 |       5.96 |       5.96 |       5.93 |       5.90
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |    1275008 |    1271135 |    1280613 |    1281118 |    1277862 |    1277717 |    1268813
    num cache misses                 |     133296 |     131976 |     131010 |     134349 |     132334 |     134477 |     131825
    miss rate                        |     10.45% |     10.38% |     10.23% |     10.49% |     10.36% |     10.52% |     10.39%
    mpki                             |       4.63 |       4.59 |       4.56 |       4.68 |       4.61 |       4.68 |       4.58
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |     133365 |     132054 |     131073 |     134413 |     132400 |     134546 |     131898
    num cache misses                 |      14687 |      14748 |      14651 |      14656 |      14658 |      14661 |      14662
    miss rate                        |     11.01% |     11.17% |     11.18% |     10.90% |     11.07% |     10.90% |     11.12%
    mpki                             |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51 |       0.51
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |     108776 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      57.46 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       4.03 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       8758 |       8705 |       8681 |       8750 |       8686 |       8711 |       8686
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
