                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |    9893087 |    9746410 |    9607993 |    9574874 |    9566183 |    9570152 |    9714771 |    9562145 |    9568119 |    9656152
  Cycles                             |   45691086 |   45691086 |   45691086 |   45691086 |   45691086 |   45691086 |   45691086 |   45691086 |   45691086 |   45691086
  IPC                                |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   17177100 |   17177100 |   17177100 |   17177100 |   17177100 |   17177100 |   17177100 |   17177100 |   17177100 |   17177100
  Idle time (ns)                     |        -63 |         46 |        -63 |          5 |          5 |        -24 |         84 |        -27 |        128 |        103
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |     287362 |     283274 |     279437 |     278518 |     278276 |     278387 |     282396 |     278166 |     278330 |     280771
  num incorrect                      |       1015 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.35% |      0.35% |      0.35% |      0.35% |      0.34% |      0.35% |      0.35% |      0.35%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1086228 |    1070199 |    1055089 |    1051474 |    1050523 |    1050958 |    1066745 |    1050086 |    1050735 |    1060345
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4564604 |    4497164 |    4433468 |    4418227 |    4414232 |    4416053 |    4482599 |    4412374 |    4415124 |    4455631
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    num misses                       |         75 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1086228 |    1070199 |    1055089 |    1051474 |    1050523 |    1050958 |    1066745 |    1050086 |    1050735 |    1060345
    num cache misses                 |     371361 |     357983 |     349737 |     346627 |     344441 |     343337 |     346017 |     340960 |     340112 |     342922
    miss rate                        |     34.19% |     33.45% |     33.15% |     32.97% |     32.79% |     32.67% |     32.44% |     32.47% |     32.37% |     32.34%
    mpki                             |      37.54 |      36.73 |      36.40 |      36.20 |      36.01 |      35.88 |      35.62 |      35.66 |      35.55 |      35.51
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4564604 |    4497164 |    4433468 |    4418227 |    4414232 |    4416053 |    4482599 |    4412374 |    4415124 |    4455631
    num cache misses                 |     840180 |     866614 |     957437 |     984837 |     984493 |     984799 |     851638 |     980753 |     982165 |     884977
    miss rate                        |     18.41% |     19.27% |     21.60% |     22.29% |     22.30% |     22.30% |     19.00% |     22.23% |     22.25% |     19.86%
    mpki                             |      84.93 |      88.92 |      99.65 |     102.86 |     102.91 |     102.90 |      87.66 |     102.57 |     102.65 |      91.65
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1211557 |    1224611 |    1307188 |    1331476 |    1328947 |    1328148 |    1197670 |    1321726 |    1322290 |    1227911
    num cache misses                 |     977826 |     990782 |    1002620 |    1007126 |    1007632 |    1008586 |     991711 |    1008844 |    1007841 |    1004231
    miss rate                        |     80.71% |     80.91% |     76.70% |     75.64% |     75.82% |     75.94% |     82.80% |     76.33% |     76.22% |     81.78%
    mpki                             |      98.84 |     101.66 |     104.35 |     105.18 |     105.33 |     105.39 |     102.08 |     105.50 |     105.33 |     104.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     977843 |     990797 |    1002635 |    1007139 |    1007648 |    1008598 |     991726 |    1008858 |    1007855 |    1004245
    num cache misses                 |       1537 |       1486 |       1483 |       1482 |       1476 |       1482 |       1487 |       1482 |       1482 |       1479
    miss rate                        |      0.16% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.16 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14901 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      84.88 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      31.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        712 |        685 |        692 |        686 |        694 |        702 |        685 |        694 |        682 |        705
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
