                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   49481382 |   49171904 |   49491605 |   49447658 |   49346161 |   48995805 |   49617026 |   50121645 |   49895346
  Cycles                             |  649580778 |  649580778 |  649580778 |  649580778 |  649580778 |  649580778 |  649580778 |  649580778 |  649580778
  IPC                                |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |  244203300 |  244203300 |  244203300 |  244203300 |  244203300 |  244203300 |  244203300 |  244203300 |  244203300
  Idle time (ns)                     |        -66 |         39 |         65 |        -79 |        -77 |        -80 |         27 |        -66 |         27
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    9894039 |    9832143 |    9896083 |    9887294 |    9866994 |    9796924 |    9921167 |   10022009 |    9976831
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1517 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334 |      15165
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |   59272594 |   58901222 |   59284858 |   59232119 |   59110323 |   58689897 |   59435367 |   60040208 |   59769350
    num misses                       |        126 |        126 |        126 |        126 |        126 |        126 |        126 |        128 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        174 |        174 |        174 |        174 |        174 |        174 |        174 |        180 |        174
    num misses                       |        116 |        116 |        116 |        116 |        116 |        116 |        116 |        121 |        116
    miss rate                        |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     66.67% |     67.22% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334 |      15165
    num cache misses                 |       6068 |       5019 |       5562 |       5780 |       5820 |       5784 |       5610 |       6198 |       5557
    miss rate                        |     40.01% |     33.10% |     36.68% |     38.11% |     38.38% |     38.14% |     36.99% |     40.42% |     36.64%
    mpki                             |       0.12 |       0.10 |       0.11 |       0.12 |       0.12 |       0.12 |       0.11 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |   59272594 |   58901222 |   59284858 |   59232119 |   59110323 |   58689897 |   59435367 |   60040208 |   59769350
    num cache misses                 |   14028572 |   14028068 |   14028380 |   14028479 |   14028479 |   14028551 |   14028364 |   14028637 |   14028364
    miss rate                        |     23.67% |     23.82% |     23.66% |     23.68% |     23.73% |     23.90% |     23.60% |     23.37% |     23.47%
    mpki                             |     283.51 |     285.29 |     283.45 |     283.70 |     284.29 |     286.32 |     282.73 |     279.89 |     281.16
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14034674 |   14033120 |   14033977 |   14034294 |   14034333 |   14034371 |   14034010 |   14034871 |   14033955
    num cache misses                 |   14029280 |   14029116 |   14029325 |   14029389 |   14029309 |   14029361 |   14029271 |   14029551 |   14029320
    miss rate                        |     99.96% |     99.97% |     99.97% |     99.97% |     99.96% |     99.96% |     99.97% |     99.96% |     99.97%
    mpki                             |     283.53 |     285.31 |     283.47 |     283.72 |     284.30 |     286.34 |     282.75 |     279.91 |     281.17
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14029317 |   14029153 |   14029362 |   14029426 |   14029345 |   14029399 |   14029309 |   14029590 |   14029358
    num cache misses                 |       2514 |       2495 |       2506 |       2533 |       2500 |       2504 |       2522 |       2577 |       2502
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22843 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.28 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1234 |       1216 |       1224 |       1252 |       1218 |       1218 |       1240 |       1232 |       1222
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
