                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   70121716 |   70110047 |   70121642 |   70119789 |   70120903 |   70113303 |   70118749 |   70106450 |   70116141 |   70107705
  Cycles                             |  621712224 |  621712224 |  621712224 |  621712224 |  621712224 |  621712224 |  621712224 |  621712224 |  621712224 |  621712224
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |  233726400 |  233726400 |  233726400 |  233726400 |  233726400 |  233726400 |  233726400 |  233726400 |  233726400 |  233726400
  Idle time (ns)                     |        -49 |        -21 |       1050 |         33 |         57 |        -28 |        -49 |         33 |         21 |         12
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022008 |   10020374 |   10022001 |   10021765 |   10021917 |   10020838 |   10021617 |   10019860 |   10021244 |   10020039
  num incorrect                      |       1519 |       1443 |       1512 |       1443 |       1452 |       1443 |       1443 |       1443 |       1443 |       1443
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15340 |      15171 |      15330 |      15171 |      15191 |      15171 |      15171 |      15171 |      15171 |      15171
    num misses                       |         52 |         48 |         51 |         48 |         49 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60040234 |   60030637 |   60040234 |   60038990 |   60039922 |   60033430 |   60038100 |   60027559 |   60035865 |   60028638
    num misses                       |         80 |         79 |         80 |         79 |         79 |         79 |         79 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        132 |        127 |        131 |        127 |        128 |        127 |        127 |        127 |        127 |        127
    num misses                       |        121 |        116 |        120 |        116 |        117 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     91.67% |     91.34% |     91.60% |     91.34% |     91.41% |     91.34% |     91.34% |     91.34% |     91.34% |     91.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15340 |      15171 |      15330 |      15171 |      15191 |      15171 |      15171 |      15171 |      15171 |      15171
    num cache misses                 |       5282 |       6126 |       6212 |       6298 |       5944 |       5992 |       6123 |       6212 |       6302 |       5981
    miss rate                        |     34.43% |     40.38% |     40.52% |     41.51% |     39.13% |     39.50% |     40.36% |     40.95% |     41.54% |     39.42%
    mpki                             |       0.08 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   60040234 |   60030637 |   60040234 |   60038990 |   60039922 |   60033430 |   60038100 |   60027559 |   60035865 |   60028638
    num cache misses                 |   16389414 |   16389426 |   16389834 |   16390536 |   16389675 |   16389160 |   16389532 |   16389252 |   16389762 |   16388827
    miss rate                        |     27.30% |     27.30% |     27.30% |     27.30% |     27.30% |     27.30% |     27.30% |     27.30% |     27.30% |     27.30%
    mpki                             |     233.73 |     233.77 |     233.73 |     233.75 |     233.73 |     233.75 |     233.74 |     233.78 |     233.75 |     233.77
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16394734 |   16395588 |   16396080 |   16396868 |   16395654 |   16395185 |   16395688 |   16395499 |   16396097 |   16394844
    num cache misses                 |   16391670 |   16391568 |   16391962 |   16392917 |   16391816 |   16391546 |   16391624 |   16391713 |   16391966 |   16391115
    miss rate                        |     99.98% |     99.98% |     99.97% |     99.98% |     99.98% |     99.98% |     99.98% |     99.98% |     99.97% |     99.98%
    mpki                             |     233.76 |     233.80 |     233.76 |     233.78 |     233.77 |     233.79 |     233.77 |     233.81 |     233.78 |     233.80
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16391709 |   16391604 |   16391997 |   16392951 |   16391852 |   16391579 |   16391658 |   16391749 |   16391999 |   16391153
