                                     | Core 0     | Core 1    
  Instructions                       |    9893054 |    9784791
  Cycles                             |    8137738 |    8137738
  IPC                                |       1.22 |       1.20
  Time (ns)                          |    3059300 |    3059300
  Idle time (ns)                     |        -39 |         -4
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |     287362 |     284338
  num incorrect                      |       1015 |        974
  misprediction rate                 |      0.35% |      0.34%
  mpki                               |       0.10 |       0.10
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1086228 |    1074391
    num misses                       |         43 |         40
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |    4564587 |    4514837
    num misses                       |         32 |         32
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |         75 |         72
    num misses                       |         75 |         72
    miss rate                        |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1086228 |    1074391
    num cache misses                 |        515 |        479
    miss rate                        |      0.05% |      0.04%
    mpki                             |       0.05 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    4564587 |    4514837
    num cache misses                 |      12374 |      11743
    miss rate                        |      0.27% |      0.26%
    mpki                             |       1.25 |       1.20
  Cache L2                           |            |           
    num cache accesses               |      12912 |      12240
    num cache misses                 |       1520 |       1474
    miss rate                        |     11.77% |     12.04%
    mpki                             |       0.15 |       0.15
  Cache L3                           |            |           
    num cache accesses               |       1544 |       1494
    num cache misses                 |       1519 |       1474
    miss rate                        |     98.38% |     98.66%
    mpki                             |       0.15 |       0.15
DRAM summary                         |            |           
  num dram accesses                  |       2993 |          0
  average dram access latency (ns)   |      67.84 |        inf
  average dram queueing delay        |      14.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        161 |        153
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
