                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      90035 |      90279 |      90400 |      90565 |      90499 |      90333 |      90315 |      90234 |      90081 |      89959 |      90215 |      90169 |      90202 |      90208 |      90259 |      90132
  Cycles                             |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560 |     840560
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000 |     316000
  Idle time (ns)                     |        -89 |        169 |        163 |        -96 |        -41 |         -2 |        -23 |         -2 |         82 |         34 |         70 |        -23 |        -28 |        -18 |        -28 |        -41
  Idle time (%)                      |      -0.0% |       0.1% |       0.1% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19576 |      19617 |      19628 |      19646 |      19644 |      19623 |      19622 |      19613 |      19585 |      19560 |      19612 |      19603 |      19609 |      19610 |      19615 |      19595
  num incorrect                      |       1046 |       1057 |       1072 |       1085 |       1082 |       1064 |       1059 |       1047 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1054 |       1046
  misprediction rate                 |      5.07% |      5.11% |      5.18% |      5.23% |      5.22% |      5.14% |      5.12% |      5.07% |      5.07% |      5.08% |      5.06% |      5.07% |      5.06% |      5.06% |      5.10% |      5.07%
  mpki                               |      11.62 |      11.71 |      11.86 |      11.98 |      11.96 |      11.78 |      11.73 |      11.60 |      11.61 |      11.63 |      11.59 |      11.60 |      11.60 |      11.60 |      11.68 |      11.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
