                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      90475 |      90563 |      84758 |      82225 |      78039 |      82140 |      82295 |      81649 |      82622 |      81095 |      85135 |      78099 |      40071 |      85840 |      85030 |      73005
  Cycles                             |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792 |    1625792
  IPC                                |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.02 |       0.05 |       0.05 |       0.04
  Time (ns)                          |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200 |     611200
  Idle time (ns)                     |       1000 |        -42 |        347 |         82 |        340 |        387 |        340 |        223 |        267 |         90 |        -42 |        151 |     371790 |        379 |        209 |        223
  Idle time (%)                      |       0.2% |      -0.0% |       0.1% |       0.0% |       0.1% |       0.1% |       0.1% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      60.8% |       0.1% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19640 |      19646 |      18520 |      18014 |      17176 |      17997 |      18027 |      17899 |      18093 |      17787 |      18595 |      17188 |       9611 |      18737 |      18575 |      16170
  num incorrect                      |       1079 |       1085 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1041 |       1046 |       1046 |       1046
  misprediction rate                 |      5.21% |      5.23% |      5.35% |      5.49% |      5.74% |      5.49% |      5.48% |      5.52% |      5.47% |      5.55% |      5.33% |      5.74% |      9.77% |      5.29% |      5.33% |      6.08%
  mpki                               |      11.93 |      11.98 |      12.34 |      12.72 |      13.40 |      12.73 |      12.71 |      12.81 |      12.66 |      12.90 |      12.29 |      13.39 |      25.98 |      12.19 |      12.30 |      14.33
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4852 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4781 |       4798 |       4798 |       4798
    num misses                       |         44 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         40 |         42 |         42 |         42
    miss rate                        |      0.91% |      0.93% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.84% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.49 |       0.50 |       0.50 |       0.51 |       0.54 |       0.51 |       0.51 |       0.51 |       0.51 |       0.52 |       0.49 |       0.54 |       1.00 |       0.49 |       0.49 |       0.58
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      69686 |      69710 |      63026 |      59987 |      54958 |      59888 |      60070 |      59291 |      60464 |      58630 |      63479 |      55036 |       9528 |      64327 |      63352 |      48922
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.03% |      0.04% |      0.03% |      0.04% |      0.22% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.23 |       0.23 |       0.25 |       0.26 |       0.27 |       0.26 |       0.26 |       0.26 |       0.25 |       0.26 |       0.25 |       0.27 |       0.52 |       0.24 |       0.25 |       0.29
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         65 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         61 |         63 |         63 |         63
    num misses                       |         65 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         61 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.72 |       0.73 |       0.74 |       0.77 |       0.81 |       0.77 |       0.77 |       0.77 |       0.76 |       0.78 |       0.74 |       0.81 |       1.52 |       0.73 |       0.74 |       0.86
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4852 |       4859 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4781 |       4798 |       4798 |       4798
    num cache misses                 |       1604 |       1678 |       1666 |       1734 |       1591 |       1670 |       1697 |       1700 |       1685 |       1718 |       1677 |       1593 |       1412 |       1678 |       1668 |       1466
    miss rate                        |     33.06% |     34.53% |     34.72% |     36.14% |     33.16% |     34.81% |     35.37% |     35.43% |     35.12% |     35.81% |     34.95% |     33.20% |     29.53% |     34.97% |     34.76% |     30.55%
    mpki                             |      17.73 |      18.53 |      19.66 |      21.09 |      20.39 |      20.33 |      20.62 |      20.82 |      20.39 |      21.19 |      19.70 |      20.40 |      35.24 |      19.55 |      19.62 |      20.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      69686 |      69710 |      63026 |      59987 |      54958 |      59888 |      60070 |      59291 |      60464 |      58630 |      63479 |      55036 |       9528 |      64327 |      63352 |      48922
    num cache misses                 |      27029 |      26824 |      27279 |      27397 |      25265 |      27197 |      27350 |      27232 |      27239 |      27235 |      27297 |      25135 |       1988 |      28214 |      27444 |      21797
    miss rate                        |     38.79% |     38.48% |     43.28% |     45.67% |     45.97% |     45.41% |     45.53% |     45.93% |     45.05% |     46.45% |     43.00% |     45.67% |     20.86% |     43.86% |     43.32% |     44.55%
    mpki                             |     298.75 |     296.19 |     321.85 |     333.20 |     323.75 |     331.11 |     332.34 |     333.53 |     329.68 |     335.84 |     320.63 |     321.84 |      49.61 |     328.68 |     322.76 |     298.57
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      28652 |      28521 |      28961 |      29151 |      26875 |      28886 |      29065 |      28952 |      28943 |      28972 |      28991 |      26747 |       3418 |      29911 |      29130 |      23281
    num cache misses                 |      27964 |      27800 |      28288 |      28445 |      26250 |      28096 |      28367 |      28256 |      28098 |      28297 |      28344 |      25988 |       2762 |      29277 |      28457 |      22597
    miss rate                        |     97.60% |     97.47% |     97.68% |     97.58% |     97.67% |     97.27% |     97.60% |     97.60% |     97.08% |     97.67% |     97.77% |     97.16% |     80.81% |     97.88% |     97.69% |     97.06%
    mpki                             |     309.08 |     306.97 |     333.75 |     345.94 |     336.37 |     342.05 |     344.70 |     346.07 |     340.08 |     348.94 |     332.93 |     332.76 |      68.93 |     341.06 |     334.67 |     309.53
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      27984 |      27819 |      28305 |      28466 |      26271 |      28117 |      28385 |      28276 |      28119 |      28318 |      28361 |      26009 |       2782 |      29298 |      28475 |      22617
    num cache misses                 |        764 |        777 |        731 |        734 |        735 |        735 |        735 |        737 |        733 |        737 |        729 |        732 |        719 |        735 |        733 |        729
    miss rate                        |      2.73% |      2.79% |      2.58% |      2.58% |      2.80% |      2.61% |      2.59% |      2.61% |      2.61% |      2.60% |      2.57% |      2.81% |     25.84% |      2.51% |      2.57% |      3.22%
    mpki                             |       8.44 |       8.58 |       8.62 |       8.93 |       9.42 |       8.95 |       8.93 |       9.03 |       8.87 |       9.09 |       8.56 |       9.37 |      17.94 |       8.56 |       8.62 |       9.99
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      12063 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     137.94 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      84.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     16.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
