                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9893054 |    9893002 |    9880505 |    9882838
  Cycles                             |   22624098 |   22624098 |   22624098 |   22624098
  IPC                                |       0.44 |       0.44 |       0.44 |       0.44
  Time (ns)                          |    8505300 |    8505300 |    8505300 |    8505300
  Idle time (ns)                     |        -25 |        147 |        -25 |         38
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     287362 |     287354 |     286990 |     287054
  num incorrect                      |       1015 |       1008 |        974 |        974
  misprediction rate                 |      0.35% |      0.35% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1086228 |    1086220 |    1084838 |    1085090
    num misses                       |         43 |         42 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4564592 |    4564613 |    4558869 |    4559936
    num misses                       |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |         75 |         74 |         72 |         72
    num misses                       |         75 |         74 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1086228 |    1086220 |    1084838 |    1085090
    num cache misses                 |        718 |        661 |        660 |        639
    miss rate                        |      0.07% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4564592 |    4564613 |    4558869 |    4559936
    num cache misses                 |     227254 |     218215 |     213297 |     227288
    miss rate                        |      4.98% |      4.78% |      4.68% |      4.98%
    mpki                             |      22.97 |      22.06 |      21.59 |      23.00
  Cache L2                           |            |            |            |           
    num cache accesses               |     227992 |     218895 |     213974 |     227945
    num cache misses                 |       1592 |       1594 |       1529 |       1528
    miss rate                        |      0.70% |      0.73% |      0.71% |      0.67%
    mpki                             |       0.16 |       0.16 |       0.15 |       0.15
  Cache L3                           |            |            |            |           
    num cache accesses               |       1615 |       1617 |       1549 |       1548
    num cache misses                 |       1521 |       1519 |       1476 |       1476
    miss rate                        |     94.18% |     93.94% |     95.29% |     95.35%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |           
  num dram accesses                  |       5992 |          0 |          0 |          0
  average dram access latency (ns)   |      68.99 |        inf |        inf |        inf
  average dram queueing delay        |      15.56 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        164 |        168 |        157 |        158
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
