                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   78229922 |   77947013 |   77957178 |   77886941 |   78256734 |   77866835 |   78077384 |   78221661 |   78028236 |   78238411 |   78113171
  Cycles                             |  607624332 |  607624332 |  607624332 |  607624332 |  607624332 |  607624332 |  607624332 |  607624332 |  607624332 |  607624332 |  607624332
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |  228430200 |  228430200 |  228430200 |  228430200 |  228430200 |  228430200 |  228430200 |  228430200 |  228430200 |  228430200 |  228430200
  Idle time (ns)                     |        233 |         53 |         53 |        233 |         -1 |        205 |         -1 |        185 |         48 |         25 |        147
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171151 |    2163407 |    2163687 |    2161764 |    2171907 |    2161214 |    2166976 |    2170924 |    2165630 |    2171383 |    2167955
  num incorrect                      |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8522086 |    8491352 |    8492459 |    8484828 |    8525013 |    8482644 |    8505516 |    8521188 |    8500175 |    8523008 |    8509402
    num misses                       |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36043340 |   35913261 |   35917937 |   35885649 |   36055627 |   35876403 |   35973204 |   36039549 |   35950610 |   36047248 |   35989663
    num misses                       |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8522086 |    8491352 |    8492459 |    8484828 |    8525013 |    8482644 |    8505516 |    8521188 |    8500175 |    8523008 |    8509402
    num cache misses                 |    2948834 |    2871589 |    2839201 |    2818196 |    2813151 |    2790529 |    2788080 |    2784538 |    2772520 |    2773020 |    2766620
    miss rate                        |     34.60% |     33.82% |     33.43% |     33.21% |     33.00% |     32.90% |     32.78% |     32.68% |     32.62% |     32.54% |     32.51%
    mpki                             |      37.69 |      36.84 |      36.42 |      36.18 |      35.95 |      35.84 |      35.71 |      35.60 |      35.53 |      35.44 |      35.42
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36043340 |   35913261 |   35917937 |   35885649 |   36055627 |   35876403 |   35973204 |   36039549 |   35950610 |   36047248 |   35989663
    num cache misses                 |   10595000 |   10599749 |   10609273 |   10586806 |   10598654 |   10580502 |   10622167 |   10620636 |   10619057 |   10608516 |   10620934
    miss rate                        |     29.40% |     29.51% |     29.54% |     29.50% |     29.40% |     29.49% |     29.53% |     29.47% |     29.54% |     29.43% |     29.51%
