                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   12620725 |   12621591 |   12621335 |   12621668 |   12621272 |   12621257 |   12620964 |   12620946 |   12620946 |   12620927
  Cycles                             |   42019222 |   42019222 |   42019222 |   42019222 |   42019222 |   42019222 |   42019222 |   42019222 |   42019222 |   42019222
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |   15796700 |   15796700 |   15796700 |   15796700 |   15796700 |   15796700 |   15796700 |   15796700 |   15796700 |   15796700
  Idle time (ns)                     |         26 |         55 |         12 |         -1 |         55 |         41 |         97 |         80 |         33 |         -1
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2521912 |    2522006 |    2521975 |    2522009 |    2521966 |    2521966 |    2521931 |    2521929 |    2521929 |    2521929
  num incorrect                      |       1442 |       1513 |       1483 |       1516 |       1478 |       1477 |       1458 |       1455 |       1455 |       1455
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.11 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15173 |      15328 |      15273 |      15333 |      15262 |      15258 |      15200 |      15196 |      15196 |      15195
    num misses                       |         49 |         51 |         50 |         52 |         50 |         50 |         49 |         49 |         49 |         49
    miss rate                        |      0.32% |      0.33% |      0.33% |      0.34% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39856 |      40235 |      40106 |      40225 |      40061 |      40072 |      39956 |      39943 |      39943 |      39932
