                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |      90307 |      89190 |      90515
  Cycles                             |     284088 |     284088 |     284088
  IPC                                |       0.32 |       0.31 |       0.32
  Time (ns)                          |     106800 |     106800 |     106800
  Idle time (ns)                     |         -0 |        -47 |        -47
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |      19621 |      19407 |      19646
  num incorrect                      |       1059 |       1046 |       1085
  misprediction rate                 |      5.12% |      5.11% |      5.23%
  mpki                               |      11.73 |      11.73 |      11.99
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |       4822 |       4798 |       4859
    num misses                       |         42 |         42 |         45
    miss rate                        |      0.87% |      0.88% |      0.93%
    mpki                             |       0.47 |       0.47 |       0.50
  D-TLB                              |            |            |           
    num accesses                     |      69596 |      68341 |      69695
    num misses                       |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.24 |       0.23
  L2 TLB                             |            |            |           
    num accesses                     |         63 |         63 |         66
    num misses                       |         63 |         63 |         66
    miss rate                        |    100.00% |    100.00% |    100.00%
    mpki                             |       0.70 |       0.71 |       0.73
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |       4822 |       4798 |       4859
    num cache misses                 |        576 |        556 |        573
    miss rate                        |     11.95% |     11.59% |     11.79%
    mpki                             |       6.38 |       6.23 |       6.33
  Cache L1-D                         |            |            |           
    num cache accesses               |      69596 |      68341 |      69695
    num cache misses                 |        427 |        420 |        427
    miss rate                        |      0.61% |      0.61% |      0.61%
    mpki                             |       4.73 |       4.71 |       4.72
  Cache L2                           |            |            |           
    num cache accesses               |       1022 |        995 |       1022
    num cache misses                 |        773 |        755 |        799
    miss rate                        |     75.64% |     75.88% |     78.18%
    mpki                             |       8.56 |       8.47 |       8.83
  Cache L3                           |            |            |           
    num cache accesses               |        793 |        775 |        822
    num cache misses                 |        728 |        712 |        758
    miss rate                        |     91.80% |     91.87% |     92.21%
    mpki                             |       8.06 |       7.98 |       8.37
DRAM summary                         |            |            |           
  num dram accesses                  |       2198 |          0 |          0
  average dram access latency (ns)   |      83.29 |        inf |        inf
  average dram queueing delay        |      29.86 |       0.00 |       0.00
  average dram bandwidth utilization |     17.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |        155 |        155 |        167
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
