                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   50121395 |   50121654 |   50117577 |   50118207 |   50113886 |   50119388
  Cycles                             |  240780008 |  240780008 |  240780008 |  240780008 |  240780008 |  240780008
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |   90518800 |   90518800 |   90518800 |   90518800 |   90518800 |   90518800
  Idle time (ns)                     |         58 |        -83 |        -63 |        -63 |        -21 |        -83
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10021983 |   10022009 |   10021278 |   10021404 |   10020540 |   10021641
  num incorrect                      |       1493 |       1517 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15287 |      15334 |      15165 |      15165 |      15165 |      15165
    num misses                       |         50 |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.33% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   60040136 |   60040214 |   60036030 |   60036784 |   60031603 |   60038208
    num misses                       |        128 |        128 |        126 |        126 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        178 |        180 |        174 |        174 |        174 |        174
    num misses                       |        119 |        121 |        116 |        116 |        116 |        116
    miss rate                        |     66.85% |     67.22% |     66.67% |     66.67% |     66.67% |     66.67%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15287 |      15334 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       4428 |       4336 |       4419 |       4524 |       4044 |       4500
    miss rate                        |     28.97% |     28.28% |     29.14% |     29.83% |     26.67% |     29.67%
    mpki                             |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   60040136 |   60040214 |   60036030 |   60036784 |   60031603 |   60038208
    num cache misses                 |       3839 |       3761 |       3859 |       3864 |       3659 |       3872
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.07 |       0.08
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8301 |       8132 |       8311 |       8421 |       7740 |       8402
    num cache misses                 |       3465 |       3481 |       3381 |       3396 |       3356 |       3392
    miss rate                        |     41.74% |     42.81% |     40.68% |     40.33% |     43.36% |     40.37%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3503 |       3519 |       3416 |       3434 |       3394 |       3427
    num cache misses                 |       2454 |       2490 |       2425 |       2426 |       2427 |       2415
    miss rate                        |     70.05% |     70.76% |     70.99% |     70.65% |     71.51% |     70.47%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14667 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.09 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      18.66 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1145 |       1153 |       1146 |       1149 |       1147 |       1144
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
