                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |    6728791 |    6448525 |    6452431 |    6444004 |    6451581 |    6494831 |    6433436 |    6422936 |    6428150 |    6434367 |    6415456
  Cycles                             |   36870792 |   36870792 |   36870792 |   36870792 |   36870792 |   36870792 |   36870792 |   36870792 |   36870792 |   36870792 |   36870792
  IPC                                |       0.18 |       0.17 |       0.18 |       0.17 |       0.17 |       0.18 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |   13861200 |   13861200 |   13861200 |   13861200 |   13861200 |   13861200 |   13861200 |   13861200 |   13861200 |   13861200 |   13861200
  Idle time (ns)                     |        -91 |         10 |        -91 |        -38 |        -23 |        -38 |         66 |        -43 |        -23 |        142 |         38
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259678 |     253508 |     253549 |     253452 |     253541 |     255103 |     253258 |     252653 |     252860 |     253279 |     252570
  num incorrect                      |       3961 |       3879 |       3881 |       3878 |       3881 |       3902 |       3876 |       3868 |       3871 |       3876 |       3865
  misprediction rate                 |      1.50% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51%
  mpki                               |       0.59 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680639 |     657812 |     658082 |     657491 |     658025 |     662518 |     656662 |     655254 |     655817 |     656739 |     654732
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3650221 |    3498638 |    3500880 |    3496059 |    3500394 |    3527559 |    3490010 |    3482788 |    3486128 |    3490541 |    3478513
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     680639 |     657812 |     658082 |     657491 |     658025 |     662518 |     656662 |     655254 |     655817 |     656739 |     654732
    num cache misses                 |     328426 |     379873 |     361681 |     371788 |     359677 |     353819 |     369113 |     363710 |     370508 |     363876 |     359955
    miss rate                        |     48.25% |     57.75% |     54.96% |     56.55% |     54.66% |     53.41% |     56.21% |     55.51% |     56.50% |     55.41% |     54.98%
    mpki                             |      48.81 |      58.91 |      56.05 |      57.70 |      55.75 |      54.48 |      57.37 |      56.63 |      57.64 |      56.55 |      56.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3650221 |    3498638 |    3500880 |    3496059 |    3500394 |    3527559 |    3490010 |    3482788 |    3486128 |    3490541 |    3478513
    num cache misses                 |     325645 |     344693 |     343503 |     344456 |     341125 |     335199 |     343472 |     346150 |     348976 |     344153 |     336509
    miss rate                        |      8.92% |      9.85% |      9.81% |      9.85% |      9.75% |      9.50% |      9.84% |      9.94% |     10.01% |      9.86% |      9.67%
    mpki                             |      48.40 |      53.45 |      53.24 |      53.45 |      52.87 |      51.61 |      53.39 |      53.89 |      54.29 |      53.49 |      52.45
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     654098 |     724585 |     705202 |     716263 |     700824 |     689039 |     712603 |     709878 |     719506 |     708045 |     696485
    num cache misses                 |     436325 |     470154 |     476420 |     472522 |     474389 |     467752 |     473438 |     478370 |     480028 |     476425 |     471475
    miss rate                        |     66.71% |     64.89% |     67.56% |     65.97% |     67.69% |     67.88% |     66.44% |     67.39% |     66.72% |     67.29% |     67.69%
    mpki                             |      64.84 |      72.91 |      73.84 |      73.33 |      73.53 |      72.02 |      73.59 |      74.48 |      74.68 |      74.04 |      73.49
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     436360 |     470174 |     476439 |     472541 |     474412 |     467783 |     473456 |     478391 |     480050 |     476446 |     471498
    num cache misses                 |       4550 |       4472 |       4473 |       4480 |       4472 |       4472 |       4472 |       4479 |       4477 |       4467 |       4478
