                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |   28711403 |   28737512 |   28742715 |   28730747 |   28701478 |   28694264 |   28751891 |   28713985 |   28759956 |   28759625 |   28703445 |   28738566 |   28746289 |   28751613
  Cycles                             |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516 |  250871516
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600 |   94312600
  Idle time (ns)                     |         65 |        209 |        147 |        -14 |         65 |        274 |        147 |        196 |        -77 |       2405 |         25 |        195 |        274 |        -77
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1058720 |    1059229 |    1059331 |    1059098 |    1058528 |    1058387 |    1059509 |    1058772 |    1059719 |    1059686 |    1058566 |    1059250 |    1059402 |    1059504
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7979 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2872519 |    2874535 |    2874938 |    2874014 |    2871755 |    2871197 |    2875645 |    2872720 |    2876325 |    2876278 |    2871905 |    2874617 |    2875216 |    2875625
    num misses                       |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15752964 |   15766530 |   15769241 |   15763018 |   15747812 |   15744060 |   15774005 |   15754310 |   15778139 |   15778030 |   15748826 |   15767083 |   15771102 |   15773866
    num misses                       |       6223 |       6282 |       6295 |       6266 |       6206 |       6194 |       6317 |       6228 |       6344 |       6343 |       6209 |       6285 |       6304 |       6316
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6284 |       6343 |       6356 |       6327 |       6267 |       6255 |       6378 |       6289 |       6407 |       6404 |       6270 |       6346 |       6365 |       6377
    num misses                       |        318 |        320 |        320 |        319 |        317 |        317 |        321 |        318 |        333 |        330 |        317 |        320 |        321 |        321
    miss rate                        |      5.06% |      5.04% |      5.03% |      5.04% |      5.06% |      5.07% |      5.03% |      5.06% |      5.20% |      5.15% |      5.06% |      5.04% |      5.04% |      5.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2872519 |    2874535 |    2874938 |    2874014 |    2871755 |    2871197 |    2875645 |    2872720 |    2876325 |    2876278 |    2871905 |    2874617 |    2875216 |    2875625
    num cache misses                 |    1758217 |    1733763 |    1734476 |    1733551 |    1728287 |    1728514 |    1718142 |    1717596 |    1710073 |    1707702 |    1711376 |    1711788 |    1705686 |    1701217
    miss rate                        |     61.21% |     60.31% |     60.33% |     60.32% |     60.18% |     60.20% |     59.75% |     59.79% |     59.45% |     59.37% |     59.59% |     59.55% |     59.32% |     59.16%
    mpki                             |      61.24 |      60.33 |      60.34 |      60.34 |      60.22 |      60.24 |      59.76 |      59.82 |      59.46 |      59.38 |      59.62 |      59.56 |      59.34 |      59.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15752964 |   15766530 |   15769241 |   15763018 |   15747812 |   15744060 |   15774005 |   15754310 |   15778139 |   15778030 |   15748826 |   15767083 |   15771102 |   15773866
    num cache misses                 |    3454749 |    3440789 |    3449097 |    3463042 |    3469958 |    3453722 |    3442734 |    3466408 |    3450552 |    3451046 |    3470369 |    3466508 |    3447731 |    3448219
    miss rate                        |     21.93% |     21.82% |     21.87% |     21.97% |     22.03% |     21.94% |     21.83% |     22.00% |     21.87% |     21.87% |     22.04% |     21.99% |     21.86% |     21.86%
    mpki                             |     120.33 |     119.73 |     120.00 |     120.53 |     120.90 |     120.36 |     119.74 |     120.72 |     119.98 |     120.00 |     120.90 |     120.62 |     119.94 |     119.93
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5213755 |    5175370 |    5184372 |    5197406 |    5199054 |    5183015 |    5161700 |    5184802 |    5161454 |    5159578 |    5182568 |    5179116 |    5154238 |    5150275
    num cache misses                 |    4582676 |    4566957 |    4581665 |    4603780 |    4613879 |    4590916 |    4578543 |    4609672 |    4582174 |    4581871 |    4611251 |    4607216 |    4590358 |    4581054
