                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |      90620 |      90502 |      90433
  Cycles                             |     220514 |     220514 |     220514
  IPC                                |       0.41 |       0.41 |       0.41
  Time (ns)                          |      82900 |      82900 |      82900
  Idle time (ns)                     |        -84 |        -21 |        -16
  Idle time (%)                      |      -0.1% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |      19646 |      19646 |      19636
  num incorrect                      |       1085 |       1085 |       1072
  misprediction rate                 |      5.23% |      5.23% |      5.18%
  mpki                               |      11.97 |      11.99 |      11.85
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |       4859 |       4857 |       4845
    num misses                       |         45 |         44 |         44
    miss rate                        |      0.93% |      0.91% |      0.91%
    mpki                             |       0.50 |       0.49 |       0.49
  D-TLB                              |            |            |           
    num accesses                     |      69741 |      69739 |      69698
    num misses                       |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23 |       0.23
  L2 TLB                             |            |            |           
    num accesses                     |         66 |         65 |         65
    num misses                       |         66 |         65 |         65
    miss rate                        |    100.00% |    100.00% |    100.00%
    mpki                             |       0.73 |       0.72 |       0.72
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |       4859 |       4857 |       4845
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |      69741 |      69739 |      69698
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
