                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   40121367 |   40121706 |   40121282
  Cycles                             |   40691882 |   40691882 |   40691882
  IPC                                |       0.99 |       0.99 |       0.99
  Time (ns)                          |   15297700 |   15297700 |   15297700
  Idle time (ns)                     |         -2 |        -85 |        -85
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10021973 |   10022006 |   10021952
  num incorrect                      |       1485 |       1519 |       1473
  misprediction rate                 |      0.01% |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |   20015274 |   20015334 |   20015246
    num misses                       |         50 |         52 |         49
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |      40111 |      40229 |      40018
    num misses                       |         74 |         74 |         73
    miss rate                        |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        124 |        126 |        122
    num misses                       |        120 |        122 |        118
    miss rate                        |     96.77% |     96.83% |     96.72%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |   20015274 |   20015334 |   20015246
    num cache misses                 |       1434 |       1405 |       1396
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |      40111 |      40229 |      40018
    num cache misses                 |       2236 |       2274 |       2246
    miss rate                        |      5.57% |      5.65% |      5.61%
    mpki                             |       0.06 |       0.06 |       0.06
  Cache L2                           |            |            |           
    num cache accesses               |       3706 |       3717 |       3678
    num cache misses                 |       2681 |       2741 |       2690
    miss rate                        |     72.34% |     73.74% |     73.14%
    mpki                             |       0.07 |       0.07 |       0.07
  Cache L3                           |            |            |           
    num cache accesses               |       2720 |       2780 |       2728
    num cache misses                 |       2448 |       2481 |       2435
    miss rate                        |     90.00% |     89.24% |     89.26%
    mpki                             |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |           
  num dram accesses                  |       7364 |          0 |          0
  average dram access latency (ns)   |      67.40 |        inf |        inf
  average dram queueing delay        |      13.97 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1118 |       1126 |       1118
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
