                                     | Core 0     | Core 1    
  Instructions                       |      90515 |      90106
  Cycles                             |     363622 |     363622
  IPC                                |       0.25 |       0.25
  Time (ns)                          |     136700 |     136700
  Idle time (ns)                     |        -87 |        -87
  Idle time (%)                      |      -0.1% |      -0.1%
Branch predictor stats               |            |           
  num correct                        |      19646 |      19590
  num incorrect                      |       1085 |       1046
  misprediction rate                 |      5.23% |      5.07%
  mpki                               |      11.99 |      11.61
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |       4859 |       4798
    num misses                       |         45 |         42
    miss rate                        |      0.93% |      0.88%
    mpki                             |       0.50 |       0.47
  D-TLB                              |            |           
    num accesses                     |      69690 |      69441
    num misses                       |         21 |         21
    miss rate                        |      0.03% |      0.03%
    mpki                             |       0.23 |       0.23
  L2 TLB                             |            |           
    num accesses                     |         66 |         63
    num misses                       |         66 |         63
    miss rate                        |    100.00% |    100.00%
    mpki                             |       0.73 |       0.70
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |       4859 |       4798
    num cache misses                 |        499 |        467
    miss rate                        |     10.27% |      9.73%
    mpki                             |       5.51 |       5.18
  Cache L1-D                         |            |           
    num cache accesses               |      69690 |      69441
    num cache misses                 |        316 |        318
    miss rate                        |      0.45% |      0.46%
    mpki                             |       3.49 |       3.53
  Cache L2                           |            |           
    num cache accesses               |        837 |        804
    num cache misses                 |        757 |        714
    miss rate                        |     90.44% |     88.81%
    mpki                             |       8.36 |       7.92
  Cache L3                           |            |           
    num cache accesses               |        779 |        733
    num cache misses                 |        755 |        712
    miss rate                        |     96.92% |     97.14%
    mpki                             |       8.34 |       7.90
DRAM summary                         |            |           
  num dram accesses                  |       1467 |          0
  average dram access latency (ns)   |      78.77 |        inf
  average dram queueing delay        |      25.34 |       0.00
  average dram bandwidth utilization |      9.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |        160 |        153
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
