                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   60106096 |   60105255 |   60105387 |   60113884 |   60117976 |   60108640 |   60113854 |   60103131 |   60121660 |   60104079 |   60109294
  Cycles                             |  220881346 |  220881346 |  220881346 |  220881346 |  220881346 |  220881346 |  220881346 |  220881346 |  220881346 |  220881346 |  220881346
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   83038100 |   83038100 |   83038100 |   83038100 |   83038100 |   83038100 |   83038100 |   83038100 |   83038100 |   83038100 |   83038100
  Idle time (ns)                     |         11 |         83 |        -32 |         78 |         32 |         32 |         78 |         11 |        -32 |         -0 |         83
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10019485 |   10019345 |   10019367 |   10020784 |   10021466 |   10019910 |   10020779 |   10018991 |   10022011 |   10019149 |   10020018
  num incorrect                      |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1437 |       1515 |       1437 |       1437
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15333 |      15164 |      15164
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      40227 |      39845 |      39845
    num misses                       |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         73 |         72 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        120 |        125 |        120 |        120
    num misses                       |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        118 |        123 |        118 |        118
