                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |    9979036 |    9869887 |    9913547 |    9940181 |    9923877
  Cycles                             |   25109336 |   25109336 |   25109336 |   25109336 |   25109336
  IPC                                |       0.40 |       0.39 |       0.39 |       0.40 |       0.40
  Time (ns)                          |    9439600 |    9439600 |    9439600 |    9439600 |    9439600
  Idle time (ns)                     |        -24 |         44 |        -26 |         58 |        -24
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |     301064 |     297967 |     299174 |     299915 |     299463
  num incorrect                      |       1544 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.49% |      0.49% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    1097185 |    1085208 |    1089962 |    1092880 |    1091100
    num misses                       |         52 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |    4596294 |    4546141 |    4566177 |    4578479 |    4570964
    num misses                       |         94 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        146 |        140 |        140 |        140 |        140
    num misses                       |        134 |        129 |        129 |        129 |        129
    miss rate                        |     91.78% |     92.14% |     92.14% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    1097185 |    1085208 |    1089962 |    1092880 |    1091100
    num cache misses                 |     307140 |     315560 |     316299 |     317103 |     321066
    miss rate                        |     27.99% |     29.08% |     29.02% |     29.02% |     29.43%
    mpki                             |      30.78 |      31.97 |      31.91 |      31.90 |      32.35
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |    4596294 |    4546141 |    4566177 |    4578479 |    4570964
    num cache misses                 |      98194 |     169160 |     247717 |     245822 |     252375
    miss rate                        |      2.14% |      3.72% |      5.43% |      5.37% |      5.52%
    mpki                             |       9.84 |      17.14 |      24.99 |      24.73 |      25.43
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     405368 |     484752 |     564050 |     562958 |     573473
    num cache misses                 |       8635 |       9905 |       9865 |       9816 |       9814
    miss rate                        |      2.13% |      2.04% |      1.75% |      1.74% |      1.71%
    mpki                             |       0.87 |       1.00 |       1.00 |       0.99 |       0.99
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       8671 |       9939 |       9900 |       9851 |       9848
    num cache misses                 |       3219 |       3151 |       3152 |       3153 |       3152
    miss rate                        |     37.12% |     31.70% |     31.84% |     32.01% |     32.01%
    mpki                             |       0.32 |       0.32 |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      15827 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      67.66 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      14.23 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1382 |       1395 |       1393 |       1391 |       1396
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
