                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |    9791072 |    9857186 |    9750508 |    9764842 |    9834896 |    9893117 |    9762216 |    9791382 |    9814132 |    9779323 |    9791579
  Cycles                             |   79759036 |   79759036 |   79759036 |   79759036 |   79759036 |   79759036 |   79759036 |   79759036 |   79759036 |   79759036 |   79759036
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |   29984600 |   29984600 |   29984600 |   29984600 |   29984600 |   29984600 |   29984600 |   29984600 |   29984600 |   29984600 |   29984600
  Idle time (ns)                     |         83 |        156 |          7 |         55 |        237 |        -39 |         83 |        -39 |         40 |         35 |         -1
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     284512 |     286344 |     283388 |     283785 |     285726 |     287362 |     283713 |     284521 |     285151 |     284187 |     284526
  num incorrect                      |        974 |        974 |        974 |        974 |        974 |       1015 |        974 |        974 |        974 |        974 |        974
  misprediction rate                 |      0.34% |      0.34% |      0.34% |      0.34% |      0.34% |      0.35% |      0.34% |      0.34% |      0.34% |      0.34% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1075075 |    1082291 |    1070647 |    1072211 |    1079858 |    1086228 |    1071926 |    1075109 |    1077591 |    1073793 |    1075130
    num misses                       |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4517710 |    4548132 |    4499043 |    4505643 |    4537878 |    4564617 |    4504435 |    4517848 |    4528321 |    4512304 |    4517946
    num misses                       |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72
    num misses                       |         72 |         72 |         72 |         72 |         72 |         75 |         72 |         72 |         72 |         72 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1075075 |    1082291 |    1070647 |    1072211 |    1079858 |    1086228 |    1071926 |    1075109 |    1077591 |    1073793 |    1075130
    num cache misses                 |     370312 |     362328 |     356951 |     354848 |     353752 |     353984 |     350156 |     350241 |     349911 |     348562 |     348249
    miss rate                        |     34.45% |     33.48% |     33.34% |     33.09% |     32.76% |     32.59% |     32.67% |     32.58% |     32.47% |     32.46% |     32.39%
    mpki                             |      37.82 |      36.76 |      36.61 |      36.34 |      35.97 |      35.78 |      35.87 |      35.77 |      35.65 |      35.64 |      35.57
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4517710 |    4548132 |    4499043 |    4505643 |    4537878 |    4564617 |    4504435 |    4517848 |    4528321 |    4512304 |    4517946
