                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   78256597 |   78253244 |   78251536 |   78256678 |   78256188 |   78253886 |   78242874 |   78244843 |   78251242 |   78256455 |   78241938 |   78256506 |   78255541
  Cycles                             |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244 |   31849244
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400 |   11973400
  Idle time (ns)                     |         -0 |         76 |         76 |         38 |         77 |         76 |         72 |         82 |         75 |        -23 |         75 |         19 |         70
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171898 |    2171789 |    2171741 |    2171907 |    2171869 |    2171806 |    2171505 |    2171559 |    2171733 |    2171882 |    2171479 |    2171885 |    2171851
  num incorrect                      |       1013 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        996 |        981 |       1005 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8525003 |    8524619 |    8524432 |    8525013 |    8524937 |    8524688 |    8523492 |    8523707 |    8524400 |    8524975 |    8523389 |    8524986 |    8524867
    num misses                       |         42 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         41 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36055612 |   36054069 |   36053282 |   36055649 |   36055421 |   36054363 |   36049301 |   36050207 |   36053147 |   36055544 |   36048869 |   36055565 |   36055124
    num misses                       |         71 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         71 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
