                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   28742841 |   28759905 |   28743095 |   28759866
  Cycles                             |   48599796 |   48599796 |   48599796 |   48599796
  IPC                                |       0.59 |       0.59 |       0.59 |       0.59
  Time (ns)                          |   18270600 |   18270600 |   18270600 |   18270600
  Idle time (ns)                     |        -77 |        -77 |        -43 |        -43
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    1059334 |    1059719 |    1059339 |    1059716
  num incorrect                      |       7955 |       8006 |       7955 |       8001
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2874949 |    2876325 |    2874969 |    2876318
    num misses                       |         61 |         63 |         61 |         63
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   15769311 |   15778122 |   15769445 |   15778145
    num misses                       |       6295 |       6344 |       6295 |       6344
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |           
    num accesses                     |       6356 |       6407 |       6356 |       6407
    num misses                       |        320 |        333 |        320 |        333
    miss rate                        |      5.03% |      5.20% |      5.03% |      5.20%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2874949 |    2876325 |    2874969 |    2876318
    num cache misses                 |     137189 |     137944 |     137802 |     137757
    miss rate                        |      4.77% |      4.80% |      4.79% |      4.79%
    mpki                             |       4.77 |       4.80 |       4.79 |       4.79
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   15769311 |   15778122 |   15769445 |   15778145
    num cache misses                 |      97691 |      97094 |      97862 |      97174
    miss rate                        |      0.62% |      0.62% |      0.62% |      0.62%
    mpki                             |       3.40 |       3.38 |       3.40 |       3.38
  Cache L2                           |            |            |            |           
    num cache accesses               |     234904 |     235064 |     235688 |     234957
    num cache misses                 |      63225 |      63436 |      63252 |      63436
    miss rate                        |     26.92% |     26.99% |     26.84% |     27.00%
    mpki                             |       2.20 |       2.21 |       2.20 |       2.21
  Cache L3                           |            |            |            |           
    num cache accesses               |      63258 |      63479 |      63286 |      63469
    num cache misses                 |      13819 |      13885 |      13819 |      13881
    miss rate                        |     21.85% |     21.87% |     21.84% |     21.87%
    mpki                             |       0.48 |       0.48 |       0.48 |       0.48
DRAM summary                         |            |            |            |           
  num dram accesses                  |      55404 |          0 |          0 |          0
  average dram access latency (ns)   |      56.71 |        inf |        inf |        inf
  average dram queueing delay        |       3.28 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       4839 |       4862 |       4851 |       4841
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
