                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   70094778 |   70121716 |   70103152 |   70102504 |   70106723 |   70121460 |   70115883 |   70096467 |   70097343 |   70103650 |   70095897 |   70105386
  Cycles                             |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592 |  874584592
  IPC                                |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Time (ns)                          |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200 |  328791200
  Idle time (ns)                     |        140 |        -87 |         83 |        187 |         49 |        211 |         39 |        -87 |        140 |        125 |         39 |         69
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10018192 |   10022008 |   10019389 |   10019296 |   10019899 |   10021981 |   10021207 |   10018434 |   10018558 |   10019460 |   10018352 |   10019707
  num incorrect                      |       1443 |       1519 |       1443 |       1443 |       1443 |       1494 |       1443 |       1443 |       1443 |       1443 |       1443 |       1443
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15171 |      15340 |      15171 |      15171 |      15171 |      15292 |      15171 |      15171 |      15171 |      15171 |      15171 |      15171
    num misses                       |         48 |         52 |         48 |         48 |         48 |         50 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   60017548 |   60040234 |   60024731 |   60024174 |   60027787 |   60040164 |   60035642 |   60019002 |   60019749 |   60025156 |   60018511 |   60026643
    num misses                       |         79 |         80 |         79 |         79 |         79 |         80 |         79 |         79 |         79 |         79 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        127 |        132 |        127 |        127 |        127 |        130 |        127 |        127 |        127 |        127 |        127 |        127
    num misses                       |        116 |        121 |        116 |        116 |        116 |        119 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     91.34% |     91.67% |     91.34% |     91.34% |     91.34% |     91.54% |     91.34% |     91.34% |     91.34% |     91.34% |     91.34% |     91.34%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
