                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   60121650 |   60109483 |   60101992 |   60108171 |   60096733 |   60098064 |   60118880 |   60108701 |   60093697 |   60096874 |   60094909 |   60094411 |   60095029
  Cycles                             |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728 |  260974728
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800 |   98110800
  Idle time (ns)                     |        -45 |        -45 |        127 |         95 |        127 |         63 |         20 |         63 |        112 |          1 |        124 |         57 |         88
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022010 |   10020046 |   10018798 |   10019828 |   10017922 |   10018143 |   10021613 |   10019916 |   10017416 |   10017945 |   10017618 |   10017535 |   10017638
  num incorrect                      |       1516 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440 |       1440
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40222 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num misses                       |        159 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        211 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206 |        206
    num misses                       |        127 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122 |        122
    miss rate                        |     60.19% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15333 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164 |      15164
    num cache misses                 |       5976 |       5850 |       6131 |       6054 |       6465 |       6173 |       5819 |       6004 |       6442 |       6384 |       6506 |       6490 |       6388
    miss rate                        |     38.97% |     38.58% |     40.43% |     39.92% |     42.63% |     40.71% |     38.37% |     39.59% |     42.48% |     42.10% |     42.90% |     42.80% |     42.13%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40222 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845 |      39845
    num cache misses                 |       8275 |       8278 |       8586 |       8535 |       8757 |       8671 |       8172 |       8438 |       8672 |       8817 |       8780 |       8772 |       8721
    miss rate                        |     20.57% |     20.78% |     21.55% |     21.42% |     21.98% |     21.76% |     20.51% |     21.18% |     21.76% |     22.13% |     22.04% |     22.02% |     21.89%
    mpki                             |       0.14 |       0.14 |       0.14 |       0.14 |       0.15 |       0.14 |       0.14 |       0.14 |       0.14 |       0.15 |       0.15 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14286 |      14159 |      14748 |      14620 |      15254 |      14875 |      14023 |      14474 |      15146 |      15233 |      15318 |      15293 |      15143
    num cache misses                 |      11683 |      11800 |      12324 |      12329 |      12319 |      12366 |      11616 |      11809 |      12156 |      12456 |      12346 |      12166 |      12176
    miss rate                        |     81.78% |     83.34% |     83.56% |     84.33% |     80.76% |     83.13% |     82.84% |     81.59% |     80.26% |     81.77% |     80.60% |     79.55% |     80.41%
    mpki                             |       0.19 |       0.20 |       0.21 |       0.21 |       0.20 |       0.21 |       0.19 |       0.20 |       0.20 |       0.21 |       0.21 |       0.20 |       0.20
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11719 |      11832 |      12355 |      12360 |      12352 |      12398 |      11649 |      11842 |      12188 |      12488 |      12379 |      12198 |      12211
    num cache misses                 |       2668 |       2610 |       2619 |       2605 |       2607 |       2608 |       2597 |       2601 |       2616 |       2612 |       2610 |       2603 |       2599
    miss rate                        |     22.77% |     22.06% |     21.20% |     21.08% |     21.11% |     21.04% |     22.29% |     21.96% |     21.46% |     20.92% |     21.08% |     21.34% |     21.28%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      34305 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      96.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      42.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1316 |       1326 |       1347 |       1327 |       1338 |       1335 |       1323 |       1326 |       1346 |       1337 |       1342 |       1331 |       1326
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
