                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   60121629 |   60121573 |   60118348 |   60116062 |   60120944 |   60108949
  Cycles                             |  120785280 |  120785280 |  120785280 |  120785280 |  120785280 |  120785280
  IPC                                |       0.50 |       0.50 |       0.50 |       0.50 |       0.50 |       0.50
  Time (ns)                          |   45408000 |   45408000 |   45408000 |   45408000 |   45408000 |   45408000
  Idle time (ns)                     |        -67 |        129 |        -26 |        -67 |        -15 |        -26
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   10022010 |   10022005 |   10021525 |   10021146 |   10021931 |   10019960
  num incorrect                      |       1516 |       1511 |       1440 |       1440 |       1456 |       1440
  misprediction rate                 |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15333 |      15325 |      15164 |      15164 |      15196 |      15164
    num misses                       |         52 |         51 |         48 |         48 |         49 |         48
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      40208 |      40190 |      39845 |      39845 |      39946 |      39845
    num misses                       |        159 |        159 |        158 |        158 |        158 |        158
    miss rate                        |      0.40% |      0.40% |      0.40% |      0.40% |      0.40% |      0.40%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        211 |        210 |        206 |        206 |        207 |        206
    num misses                       |        127 |        126 |        122 |        122 |        123 |        122
    miss rate                        |     60.19% |     60.00% |     59.22% |     59.22% |     59.42% |     59.22%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15333 |      15325 |      15164 |      15164 |      15196 |      15164
    num cache misses                 |       4846 |       4528 |       4736 |       4956 |       4862 |       4470
    miss rate                        |     31.61% |     29.55% |     31.23% |     32.68% |     32.00% |     29.48%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.07
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      40208 |      40190 |      39845 |      39845 |      39946 |      39845
    num cache misses                 |       4029 |       3920 |       3955 |       4025 |       4039 |       3792
    miss rate                        |     10.02% |      9.75% |      9.93% |     10.10% |     10.11% |      9.52%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       8909 |       8482 |       8724 |       9013 |       8934 |       8295
    num cache misses                 |       3532 |       3484 |       3416 |       3447 |       3455 |       3401
    miss rate                        |     39.65% |     41.08% |     39.16% |     38.24% |     38.67% |     41.00%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3570 |       3522 |       3452 |       3483 |       3492 |       3437
    num cache misses                 |       2479 |       2471 |       2413 |       2413 |       2429 |       2413
    miss rate                        |     69.44% |     70.16% |     69.90% |     69.28% |     69.56% |     70.21%
    mpki                             |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14618 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      73.24 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.81 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1144 |       1137 |       1136 |       1141 |       1141 |       1142
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
