                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |   40116460 |   40121658 |   40095269 |   40098877 |   40096289 |   40090865 |   40095045 |   40103049 |   40097980
  Cycles                             |  120883434 |  120883434 |  120883434 |  120883434 |  120883434 |  120883434 |  120883434 |  120883434 |  120883434
  IPC                                |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33
  Time (ns)                          |   45444900 |   45444900 |   45444900 |   45444900 |   45444900 |   45444900 |   45444900 |   45444900 |   45444900
  Idle time (ns)                     |         82 |        -13 |         79 |         41 |        -13 |         35 |         31 |         61 |         18
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |   10020857 |   10022008 |   10015558 |   10016460 |   10015814 |   10014458 |   10015503 |   10017504 |   10016236
  num incorrect                      |       1441 |       1517 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         48 |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      39839 |      40221 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839
    num misses                       |         75 |         76 |         75 |         75 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        123 |        128 |        123 |        123 |        123 |        123 |        123 |        123 |        123
    num misses                       |        116 |        121 |        116 |        116 |        116 |        116 |        116 |        116 |        116
    miss rate                        |     94.31% |     94.53% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31% |     94.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15165 |      15334 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num cache misses                 |       5425 |       5287 |       6008 |       6173 |       5875 |       5601 |       5906 |       5968 |       5723
    miss rate                        |     35.77% |     34.48% |     39.62% |     40.71% |     38.74% |     36.93% |     38.94% |     39.35% |     37.74%
    mpki                             |       0.14 |       0.13 |       0.15 |       0.15 |       0.15 |       0.14 |       0.15 |       0.15 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39839 |      40221 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839 |      39839
    num cache misses                 |       5722 |       5621 |       6022 |       6049 |       6018 |       5812 |       6025 |       6013 |       5995
    miss rate                        |     14.36% |     13.98% |     15.12% |     15.18% |     15.11% |     14.59% |     15.12% |     15.09% |     15.05%
    mpki                             |       0.14 |       0.14 |       0.15 |       0.15 |       0.15 |       0.14 |       0.15 |       0.15 |       0.15
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11179 |      10941 |      12061 |      12254 |      11923 |      11445 |      11962 |      12012 |      11749
    num cache misses                 |       6390 |       6441 |       6573 |       6620 |       6768 |       6575 |       6904 |       6453 |       6641
    miss rate                        |     57.16% |     58.87% |     54.50% |     54.02% |     56.76% |     57.45% |     57.72% |     53.72% |     56.52%
    mpki                             |       0.16 |       0.16 |       0.16 |       0.17 |       0.17 |       0.16 |       0.17 |       0.16 |       0.17
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |       6424 |       6479 |       6606 |       6654 |       6800 |       6608 |       6938 |       6487 |       6672
    num cache misses                 |       2497 |       2567 |       2480 |       2503 |       2505 |       2509 |       2516 |       2487 |       2474
    miss rate                        |     38.87% |     39.62% |     37.54% |     37.62% |     36.84% |     37.97% |     36.26% |     38.34% |     37.08%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      22699 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.64 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      26.21 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1217 |       1215 |       1198 |       1231 |       1226 |       1228 |       1230 |       1214 |       1212
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
