                                     | Core 0    
  Instructions                       |   28759998
  Cycles                             |   13866846
  IPC                                |       2.07
  Time (ns)                          |    5213100
  Idle time (ns)                     |        -46
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |    1059719
  num incorrect                      |       8006
  misprediction rate                 |      0.75%
  mpki                               |       0.28
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    2876325
    num misses                       |         63
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   15778161
    num misses                       |       6344
    miss rate                        |      0.04%
    mpki                             |       0.22
  L2 TLB                             |           
    num accesses                     |       6407
    num misses                       |        333
    miss rate                        |      5.20%
    mpki                             |       0.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    2876325
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |   15778161
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L2                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
  Cache L3                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |          0
  average dram access latency (ns)   |        inf
  average dram queueing delay        |       0.00
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
