                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14    
  Instructions                       |    47649485 |    47828336 |    48053272 |    48009792 |    47908028 |    47866642 |    29922852 |    50121625 |    48759008 |    47647043 |    47616767 |    47725982 |    48058508 |    48160978 |    47859698
  Cycles                             |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070 |  1304303070
  IPC                                |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.02 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                          |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500 |   490339500
  Idle time (ns)                     |         -46 |         351 |         251 |         185 |         136 |         511 |         313 |        2938 |         113 |         172 |         101 |          78 |         545 |         251 |         395
  Idle time (%)                      |       -0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0% |        0.0%
Branch predictor stats               |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num correct                        |     9527659 |     9563429 |     9608417 |     9599720 |     9579367 |     9571090 |     5982332 |    10022009 |     9749564 |     9527171 |     9521116 |     9542959 |     9609464 |     9629958 |     9569702
  num incorrect                      |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1517 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441 |        1441
  misprediction rate                 |       0.02% |       0.02% |       0.01% |       0.02% |       0.02% |       0.02% |       0.02% |       0.02% |       0.01% |       0.02% |       0.02% |       0.02% |       0.01% |       0.01% |       0.02%
  mpki                               |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.05 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
TLB Summary                          |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  I-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num misses                       |          48 |          48 |          48 |          48 |          48 |          48 |          48 |          52 |          48 |          48 |          48 |          48 |          48 |          48 |          48
    miss rate                        |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.34% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32% |       0.32%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                              |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |    57074301 |    57288929 |    57558855 |    57506683 |    57384567 |    57334905 |    35802357 |    60040243 |    58405747 |    57071382 |    57035055 |    57166113 |    57565147 |    57688109 |    57326573
    num misses                       |         126 |         126 |         126 |         126 |         126 |         126 |         126 |         128 |         126 |         126 |         126 |         126 |         126 |         126 |         126
    miss rate                        |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num accesses                     |         174 |         174 |         174 |         174 |         174 |         174 |         174 |         180 |         174 |         174 |         174 |         174 |         174 |         174 |         174
    num misses                       |         116 |         116 |         116 |         116 |         116 |         116 |         116 |         121 |         116 |         116 |         116 |         116 |         116 |         116 |         116
    miss rate                        |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      67.22% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67% |      66.67%
    mpki                             |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                        |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  Cache L1-I                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15334 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165 |       15165
    num cache misses                 |        6789 |        6913 |        5726 |        5624 |        6420 |        6625 |        6553 |        6183 |        6868 |        6736 |        6351 |        6322 |        6773 |        6660 |        6481
    miss rate                        |      44.77% |      45.59% |      37.76% |      37.09% |      42.33% |      43.69% |      43.21% |      40.32% |      45.29% |      44.42% |      41.88% |      41.69% |      44.66% |      43.92% |      42.74%
    mpki                             |        0.14 |        0.14 |        0.12 |        0.12 |        0.13 |        0.14 |        0.22 |        0.12 |        0.14 |        0.14 |        0.13 |        0.13 |        0.14 |        0.14 |        0.14
  Cache L1-D                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |    57074301 |    57288929 |    57558855 |    57506683 |    57384567 |    57334905 |    35802357 |    60040243 |    58405747 |    57071382 |    57035055 |    57166113 |    57565147 |    57688109 |    57326573
    num cache misses                 |    26927659 |    26956700 |    26981209 |    26974879 |    26953226 |    26958850 |    17177577 |    27277935 |    27059486 |    26932113 |    26923257 |    26935380 |    26984245 |    27003082 |    26957388
    miss rate                        |      47.18% |      47.05% |      46.88% |      46.91% |      46.97% |      47.02% |      47.98% |      45.43% |      46.33% |      47.19% |      47.20% |      47.12% |      46.88% |      46.81% |      47.02%
    mpki                             |      565.12 |      563.61 |      561.49 |      561.86 |      562.60 |      563.21 |      574.06 |      544.23 |      554.96 |      565.24 |      565.42 |      564.38 |      561.49 |      560.68 |      563.26
