                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   40121674 |   40121048 |   40121597 |   40120921 |   40113461
  Cycles                             |   67233096 |   67233096 |   67233096 |   67233096 |   67233096
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |   25275600 |   25275600 |   25275600 |   25275600 |   25275600
  Idle time (ns)                     |       -100 |        -81 |         10 |        -63 |       -100
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   10022006 |   10021934 |   10021999 |   10021926 |   10020098
  num incorrect                      |       1519 |       1468 |       1512 |       1454 |       1442
  misprediction rate                 |      0.02% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |   20015334 |   20015215 |   20015324 |   20015188 |   20011543
    num misses                       |         52 |         49 |         51 |         49 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40210 |      39938 |      40199 |      39924 |      39847
    num misses                       |         74 |         73 |         74 |         73 |         73
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        126 |        122 |        125 |        122 |        121
    num misses                       |        122 |        118 |        121 |        118 |        117
    miss rate                        |     96.83% |     96.72% |     96.80% |     96.72% |     96.69%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |   20015334 |   20015215 |   20015324 |   20015188 |   20011543
    num cache misses                 |     653621 |     653845 |     653592 |     653767 |     653561
    miss rate                        |      3.27% |      3.27% |      3.27% |      3.27% |      3.27%
    mpki                             |      16.29 |      16.30 |      16.29 |      16.29 |      16.29
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40210 |      39938 |      40199 |      39924 |      39847
    num cache misses                 |       3413 |       3449 |       3354 |       3467 |       3318
    miss rate                        |      8.49% |      8.64% |      8.34% |      8.68% |      8.33%
    mpki                             |       0.09 |       0.09 |       0.08 |       0.09 |       0.08
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     657071 |     657330 |     656983 |     657268 |     656912
    num cache misses                 |       3100 |       3066 |       3116 |       3067 |       3028
    miss rate                        |      0.47% |      0.47% |      0.47% |      0.47% |      0.46%
    mpki                             |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3140 |       3105 |       3155 |       3105 |       3066
    num cache misses                 |       2481 |       2433 |       2473 |       2430 |       2414
    miss rate                        |     79.01% |     78.36% |     78.38% |     78.26% |     78.73%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12231 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      74.96 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      21.53 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1137 |       1135 |       1140 |       1132 |       1132
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
