                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |     133817 |     138397 |     137601 |     137144 |     131926 |     130530 |     133218
  Cycles                             |     858914 |     858914 |     858914 |     858914 |     858914 |     858914 |     858914
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.16
  Time (ns)                          |     322900 |     322900 |     322900 |     322900 |     322900 |     322900 |     322900
  Idle time (ns)                     |        -29 |        -61 |        663 |         44 |        -61 |        -29 |         37
  Idle time (%)                      |      -0.0% |      -0.0% |       0.2% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      28435 |      30327 |      30238 |      30080 |      27489 |      26798 |      28136
  num incorrect                      |       1443 |       1519 |       1453 |       1443 |       1443 |       1443 |       1443
  misprediction rate                 |      4.83% |      4.77% |      4.58% |      4.58% |      4.99% |      5.11% |      4.88%
  mpki                               |      10.78 |      10.98 |      10.56 |      10.52 |      10.94 |      11.05 |      10.83
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15234 |      15458 |      15309 |      15284 |      15204 |      15184 |      15224
    num misses                       |         48 |         52 |         49 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.31% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.36 |       0.38 |       0.36 |       0.35 |       0.36 |       0.37 |       0.36
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      39846 |      40209 |      39905 |      39846 |      39846 |      39846 |      39846
    num misses                       |         71 |         72 |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.53 |       0.52 |       0.52 |       0.52 |       0.54 |       0.54 |       0.53
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        119 |        124 |        120 |        119 |        119 |        119 |        119
    num misses                       |        117 |        122 |        118 |        117 |        117 |        117 |        117
    miss rate                        |     98.32% |     98.39% |     98.33% |     98.32% |     98.32% |     98.32% |     98.32%
    mpki                             |       0.87 |       0.88 |       0.86 |       0.85 |       0.89 |       0.90 |       0.88
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15234 |      15458 |      15309 |      15284 |      15204 |      15184 |      15224
    num cache misses                 |       5243 |       5228 |       5183 |       5282 |       5069 |       4875 |       5297
    miss rate                        |     34.42% |     33.82% |     33.86% |     34.56% |     33.34% |     32.11% |     34.79%
    mpki                             |      39.18 |      37.78 |      37.67 |      38.51 |      38.42 |      37.35 |      39.76
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      39846 |      40209 |      39905 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       5102 |       5100 |       5060 |       5125 |       5074 |       4949 |       5122
    miss rate                        |     12.80% |     12.68% |     12.68% |     12.86% |     12.73% |     12.42% |     12.85%
    mpki                             |      38.13 |      36.85 |      36.77 |      37.37 |      38.46 |      37.91 |      38.45
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |      10376 |      10361 |      10275 |      10437 |      10174 |       9855 |      10449
    num cache misses                 |       3994 |       4075 |       3992 |       3989 |       3979 |       3940 |       4000
    miss rate                        |     38.49% |     39.33% |     38.85% |     38.22% |     39.11% |     39.98% |     38.28%
    mpki                             |      29.85 |      29.44 |      29.01 |      29.09 |      30.16 |      30.18 |      30.03
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       4026 |       4110 |       4026 |       4021 |       4012 |       3974 |       4032
    num cache misses                 |       2410 |       2477 |       2424 |       2410 |       2410 |       2410 |       2410
    miss rate                        |     59.86% |     60.27% |     60.21% |     59.94% |     60.07% |     60.64% |     59.77%
    mpki                             |      18.01 |      17.90 |      17.62 |      17.57 |      18.27 |      18.46 |      18.09
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      16951 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.29 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      21.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     44.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1134 |       1147 |       1143 |       1141 |       1140 |       1141 |       1141
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
