                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |    6728739 |    6697448 |    6702416 |    6708377 |    6720011 |    6721742 |    6692083
  Cycles                             |   19868338 |   19868338 |   19868338 |   19868338 |   19868338 |   19868338 |   19868338
  IPC                                |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34 |       0.34
  Time (ns)                          |    7469300 |    7469300 |    7469300 |    7469300 |    7469300 |    7469300 |    7469300
  Idle time (ns)                     |         -0 |         -0 |         83 |         63 |         87 |         43 |         54
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |     259678 |     259006 |     259105 |     259223 |     259452 |     259487 |     258901
  num incorrect                      |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.49% |      1.49% |      1.49% |      1.49% |      1.48% |      1.49%
  mpki                               |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |     680639 |     678153 |     678539 |     679002 |     679903 |     680038 |     677739
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |    3650201 |    3633968 |    3636564 |    3639666 |    3645720 |    3646618 |    3631196
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |     680639 |     678153 |     678539 |     679002 |     679903 |     680038 |     677739
    num cache misses                 |     294554 |     300919 |     297840 |     298153 |     293318 |     291656 |     298996
    miss rate                        |     43.28% |     44.37% |     43.89% |     43.91% |     43.14% |     42.89% |     44.12%
    mpki                             |      43.78 |      44.93 |      44.44 |      44.44 |      43.65 |      43.39 |      44.68
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |    3650201 |    3633968 |    3636564 |    3639666 |    3645720 |    3646618 |    3631196
    num cache misses                 |      30836 |      32115 |      32904 |      31629 |      32434 |      32177 |      31288
    miss rate                        |      0.84% |      0.88% |      0.90% |      0.87% |      0.89% |      0.88% |      0.86%
    mpki                             |       4.58 |       4.80 |       4.91 |       4.71 |       4.83 |       4.79 |       4.68
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |     325415 |     333056 |     330767 |     329804 |     325774 |     323856 |     330307
    num cache misses                 |      22848 |      22763 |      22825 |      22846 |      23054 |      22986 |      22498
    miss rate                        |      7.02% |      6.83% |      6.90% |      6.93% |      7.08% |      7.10% |      6.81%
    mpki                             |       3.40 |       3.40 |       3.41 |       3.41 |       3.43 |       3.42 |       3.36
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |      22898 |      22805 |      22866 |      22890 |      23095 |      23028 |      22540
    num cache misses                 |       4398 |       4335 |       4335 |       4335 |       4335 |       4335 |       4335
    miss rate                        |     19.21% |     19.01% |     18.96% |     18.94% |     18.77% |     18.82% |     19.23%
    mpki                             |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.64 |       0.65
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      30408 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      65.77 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      12.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1824 |       1836 |       1854 |       1856 |       1826 |       1855 |       1834
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
