                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |    6728808 |    6567259 |    6515294 |    6487484 |    6435978 |    6463287 |    6444173 |    6440910 |    6485030 |    6450638
  Cycles                             |   31856958 |   31856958 |   31856958 |   31856958 |   31856958 |   31856958 |   31856958 |   31856958 |   31856958 |   31856958
  IPC                                |       0.21 |       0.21 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   11976300 |   11976300 |   11976300 |   11976300 |   11976300 |   11976300 |   11976300 |   11976300 |   11976300 |   11976300
  Idle time (ns)                     |        -55 |         73 |        -25 |         35 |         35 |         35 |        -55 |         22 |         35 |        -25
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259678 |     256434 |     255408 |     254669 |     253315 |     254161 |     253453 |     253409 |     254513 |     253529
  num incorrect                      |       3961 |       3911 |       3911 |       3897 |       3876 |       3889 |       3878 |       3877 |       3894 |       3881
  misprediction rate                 |      1.50% |      1.50% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51%
  mpki                               |       0.59 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680639 |     668061 |     664032 |     661514 |     656874 |     659519 |     657502 |     657265 |     661171 |     657958
    num misses                       |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3650231 |    3566255 |    3539222 |    3522520 |    3491467 |    3508305 |    3496140 |    3494287 |    3520821 |    3499855
    num misses                       |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     680639 |     668061 |     664032 |     661514 |     656874 |     659519 |     657502 |     657265 |     661171 |     657958
    num cache misses                 |     298920 |     320688 |     345136 |     342489 |     351543 |     345230 |     347277 |     348280 |     344040 |     346010
    miss rate                        |     43.92% |     48.00% |     51.98% |     51.77% |     53.52% |     52.35% |     52.82% |     52.99% |     52.03% |     52.59%
    mpki                             |      44.42 |      48.83 |      52.97 |      52.79 |      54.62 |      53.41 |      53.89 |      54.07 |      53.05 |      53.64
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3650231 |    3566255 |    3539222 |    3522520 |    3491467 |    3508305 |    3496140 |    3494287 |    3520821 |    3499855
    num cache misses                 |     204297 |     212922 |     214879 |     213878 |     215376 |     217360 |     218985 |     216624 |     212584 |     215658
    miss rate                        |      5.60% |      5.97% |      6.07% |      6.07% |      6.17% |      6.20% |      6.26% |      6.20% |      6.04% |      6.16%
    mpki                             |      30.36 |      32.42 |      32.98 |      32.97 |      33.46 |      33.63 |      33.98 |      33.63 |      32.78 |      33.43
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     503246 |     533635 |     560033 |     556387 |     566939 |     562608 |     566282 |     564923 |     556646 |     561688
    num cache misses                 |     264468 |     280571 |     284613 |     285975 |     290418 |     290671 |     294218 |     291953 |     285491 |     291648
    miss rate                        |     52.55% |     52.58% |     50.82% |     51.40% |     51.23% |     51.66% |     51.96% |     51.68% |     51.29% |     51.92%
    mpki                             |      39.30 |      42.72 |      43.68 |      44.08 |      45.12 |      44.97 |      45.66 |      45.33 |      44.02 |      45.21
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     264523 |     280607 |     284655 |     286006 |     290450 |     290695 |     294249 |     291979 |     285519 |     291676
    num cache misses                 |       4532 |       4450 |       4454 |       4446 |       4451 |       4431 |       4456 |       4448 |       4435 |       4439
    miss rate                        |      1.71% |      1.59% |      1.56% |      1.55% |      1.53% |      1.52% |      1.51% |      1.52% |      1.55% |      1.52%
    mpki                             |       0.67 |       0.68 |       0.68 |       0.69 |       0.69 |       0.69 |       0.69 |       0.69 |       0.68 |       0.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      45422 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      67.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      14.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2647 |       2589 |       2614 |       2589 |       2599 |       2591 |       2605 |       2568 |       2545 |       2577
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
