                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |      85154 |      87739 |      90571 |      88532 |      88992 |      90284 |      85888 |      86245 |      87667 |      87884 |      80172 |      87007 |      86099
  Cycles                             |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812 |    1617812
  IPC                                |       0.05 |       0.05 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200 |     608200
  Idle time (ns)                     |         79 |        133 |       -286 |         20 |        -35 |       1456 |         79 |        198 |         -3 |         68 |        263 |       -286 |        169
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.2% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      18599 |      19116 |      19646 |      19275 |      19367 |      19619 |      18746 |      18818 |      19102 |      19145 |      17603 |      18970 |      18788
  num incorrect                      |       1046 |       1046 |       1085 |       1046 |       1046 |       1057 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046 |       1046
  misprediction rate                 |      5.32% |      5.19% |      5.23% |      5.15% |      5.12% |      5.11% |      5.28% |      5.27% |      5.19% |      5.18% |      5.61% |      5.23% |      5.27%
  mpki                               |      12.28 |      11.92 |      11.98 |      11.81 |      11.75 |      11.71 |      12.18 |      12.13 |      11.93 |      11.90 |      13.05 |      12.02 |      12.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       4798 |       4798 |       4859 |       4798 |       4798 |       4818 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num misses                       |         42 |         42 |         45 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42 |         42
    miss rate                        |      0.88% |      0.88% |      0.93% |      0.88% |      0.88% |      0.87% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88% |      0.88%
    mpki                             |       0.49 |       0.48 |       0.50 |       0.47 |       0.47 |       0.47 |       0.49 |       0.49 |       0.48 |       0.48 |       0.52 |       0.48 |       0.49
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      63501 |      66602 |      69715 |      67557 |      68108 |      69614 |      64380 |      64812 |      66518 |      66778 |      57524 |      65704 |      64636
    num misses                       |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21 |         21
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.25 |       0.24 |       0.23 |       0.24 |       0.24 |       0.23 |       0.24 |       0.24 |       0.24 |       0.24 |       0.26 |       0.24 |       0.24
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |         63 |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    num misses                       |         63 |         63 |         66 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63 |         63
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.74 |       0.72 |       0.73 |       0.71 |       0.71 |       0.70 |       0.73 |       0.73 |       0.72 |       0.72 |       0.79 |       0.72 |       0.73
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       4798 |       4798 |       4859 |       4798 |       4798 |       4818 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798 |       4798
    num cache misses                 |       1740 |       1753 |       1689 |       1724 |       1682 |       1573 |       1763 |       1731 |       1725 |       1746 |       1703 |       1737 |       1718
    miss rate                        |     36.27% |     36.54% |     34.76% |     35.93% |     35.06% |     32.65% |     36.74% |     36.08% |     35.95% |     36.39% |     35.49% |     36.20% |     35.81%
    mpki                             |      20.43 |      19.98 |      18.65 |      19.47 |      18.90 |      17.42 |      20.53 |      20.07 |      19.68 |      19.87 |      21.24 |      19.96 |      19.95
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      63501 |      66602 |      69715 |      67557 |      68108 |      69614 |      64380 |      64812 |      66518 |      66778 |      57524 |      65704 |      64636
    num cache misses                 |      30218 |      30587 |      29609 |      30807 |      30741 |      30302 |      30656 |      30751 |      30828 |      30908 |      27094 |      30947 |      30558
