                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |     138397 |     137609 |     130022 |     125768 |     120688
  Cycles                             |     575358 |     575358 |     575358 |     575358 |     575358
  IPC                                |       0.24 |       0.24 |       0.23 |       0.22 |       0.21
  Time (ns)                          |     216300 |     216300 |     216300 |     216300 |     216300
  Idle time (ns)                     |        -68 |        138 |        -68 |        -37 |         21
  Idle time (%)                      |      -0.0% |       0.1% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |      30327 |      30238 |      26555 |      24450 |      21918
  num incorrect                      |       1519 |       1454 |       1443 |       1438 |       1435
  misprediction rate                 |      4.77% |      4.59% |      5.15% |      5.55% |      6.14%
  mpki                               |      10.98 |      10.57 |      11.10 |      11.43 |      11.89
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15458 |      15309 |      15176 |      15162 |      15161
    num misses                       |         52 |         49 |         48 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.38 |       0.36 |       0.37 |       0.38 |       0.40
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40209 |      39868 |      39846 |      39846 |      39834
    num misses                       |         72 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.55 |       0.56 |       0.59
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        124 |        120 |        119 |        119 |        119
    num misses                       |        122 |        118 |        117 |        117 |        117
    miss rate                        |     98.39% |     98.33% |     98.32% |     98.32% |     98.32%
    mpki                             |       0.88 |       0.86 |       0.90 |       0.93 |       0.97
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15458 |      15309 |      15176 |      15162 |      15161
    num cache misses                 |       3304 |       3523 |       3399 |       3423 |       3224
    miss rate                        |     21.37% |     23.01% |     22.40% |     22.58% |     21.27%
    mpki                             |      23.87 |      25.60 |      26.14 |      27.22 |      26.71
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40209 |      39868 |      39846 |      39846 |      39834
    num cache misses                 |       3728 |       3782 |       3777 |       3708 |       3582
    miss rate                        |      9.27% |      9.49% |      9.48% |      9.31% |      8.99%
    mpki                             |      26.94 |      27.48 |      29.05 |      29.48 |      29.68
  Cache L2                           |            |            |            |            |           
    num cache accesses               |       7066 |       7337 |       7209 |       7164 |       6838
    num cache misses                 |       3334 |       3267 |       3243 |       3247 |       3234
    miss rate                        |     47.18% |     44.53% |     44.99% |     45.32% |     47.29%
    mpki                             |      24.09 |      23.74 |      24.94 |      25.82 |      26.80
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3370 |       3301 |       3277 |       3280 |       3267
    num cache misses                 |       2477 |       2424 |       2410 |       2410 |       2409
    miss rate                        |     73.50% |     73.43% |     73.54% |     73.48% |     73.74%
    mpki                             |      17.90 |      17.62 |      18.54 |      19.16 |      19.96
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      12130 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      72.82 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      19.39 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     47.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1142 |       1141 |       1136 |       1134 |       1135
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
