                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   40121399 |   40121300 |   40121679 |   40121275 |   40121352 |   40121201 |   40121141 |   40121115 |   40121078 |   40121012 |   40120845 |   40120921
  Cycles                             |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186 |  160430186
  IPC                                |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100 |   60312100
  Idle time (ns)                     |         54 |        125 |        -17 |        120 |         54 |        101 |         19 |         -4 |         -1 |         14 |        113 |        -17
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021984 |   10021970 |   10022008 |   10021967 |   10021980 |   10021960 |   10021952 |   10021951 |   10021945 |   10021935 |   10021921 |   10021928
  num incorrect                      |       1496 |       1482 |       1517 |       1479 |       1487 |       1474 |       1472 |       1471 |       1469 |       1467 |       1452 |       1456
  misprediction rate                 |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15291 |      15270 |      15334 |      15264 |      15281 |      15252 |      15244 |      15238 |      15229 |      15215 |      15185 |      15195
    num misses                       |         50 |         50 |         52 |         50 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.33% |      0.33% |      0.34% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40141 |      40094 |      40231 |      40085 |      40121 |      40049 |      40020 |      40005 |      39991 |      39964 |      39907 |      39933
    num misses                       |         76 |         76 |         76 |         76 |         76 |         75 |         75 |         75 |         75 |         75 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        126 |        126 |        128 |        126 |        126 |        124 |        124 |        124 |        124 |        124 |        124 |        124
    num misses                       |        119 |        119 |        121 |        119 |        119 |        117 |        117 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     94.44% |     94.44% |     94.53% |     94.44% |     94.44% |     94.35% |     94.35% |     94.35% |     94.35% |     94.35% |     94.35% |     94.35%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15291 |      15270 |      15334 |      15264 |      15281 |      15252 |      15244 |      15238 |      15229 |      15215 |      15185 |      15195
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40141 |      40094 |      40231 |      40085 |      40121 |      40049 |      40020 |      40005 |      39991 |      39964 |      39907 |      39933
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
