                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   40119673 |   40077531 |   40077920 |   40080980 |   40081603 |   40111885 |   40080156 |   40078608 |   40078065 |   40085200 |   40121647 |   40085405 |   40077751
  Cycles                             |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486 |  174408486
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100 |   65567100
  Idle time (ns)                     |         42 |         59 |          3 |        -10 |        -13 |         53 |        -57 |         43 |         42 |         23 |        -57 |         -4 |        -13
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10021659 |   10011124 |   10011222 |   10011986 |   10012143 |   10019712 |   10011781 |   10011394 |   10011258 |   10013042 |   10022008 |   10013093 |   10011179
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         52 |         48 |         48
