                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |     138480 |     124571 |     120442 |     125125 |     136854 |     121492 |     127326 |     120658 |     120602
  Cycles                             |     959462 |     959462 |     959462 |     959462 |     959462 |     959462 |     959462 |     959462 |     959462
  IPC                                |       0.14 |       0.13 |       0.13 |       0.13 |       0.14 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     360700 |     360700 |     360700 |     360700 |     360700 |     360700 |     360700 |     360700 |     360700
  Idle time (ns)                     |        -97 |        -97 |        -63 |        -72 |        -97 |        -63 |         70 |        228 |         21
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.1% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |      30327 |      23845 |      21905 |      24121 |      29936 |      22322 |      25218 |      21917 |      21913
  num incorrect                      |       1519 |       1438 |       1423 |       1438 |       1443 |       1438 |       1438 |       1434 |       1432
  misprediction rate                 |      4.77% |      5.69% |      6.10% |      5.63% |      4.60% |      6.05% |      5.39% |      6.14% |      6.13%
  mpki                               |      10.97 |      11.54 |      11.81 |      11.49 |      10.54 |      11.84 |      11.29 |      11.88 |      11.87
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      15458 |      15162 |      15123 |      15162 |      15280 |      15162 |      15162 |      15157 |      15146
    num misses                       |         52 |         48 |         45 |         48 |         48 |         48 |         48 |         48 |         47
    miss rate                        |      0.34% |      0.32% |      0.30% |      0.32% |      0.31% |      0.32% |      0.32% |      0.32% |      0.31%
    mpki                             |       0.38 |       0.39 |       0.37 |       0.38 |       0.35 |       0.40 |       0.38 |       0.40 |       0.39
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |      40252 |      39846 |      39723 |      39846 |      39846 |      39846 |      39846 |      39819 |      39794
    num misses                       |         72 |         71 |         71 |         71 |         71 |         71 |         71 |         71 |         71
