                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   28759933 |   28072247 |   27697007 |   27440795 |   27398610 |   27366667 |   27373369 |   27682344 |   27691518 |   27423765
  Cycles                             |  121968182 |  121968182 |  121968182 |  121968182 |  121968182 |  121968182 |  121968182 |  121968182 |  121968182 |  121968182
  IPC                                |       0.24 |       0.23 |       0.23 |       0.22 |       0.22 |       0.22 |       0.22 |       0.23 |       0.23 |       0.22
  Time (ns)                          |   45852700 |   45852700 |   45852700 |   45852700 |   45852700 |   45852700 |   45852700 |   45852700 |   45852700 |   45852700
  Idle time (ns)                     |        -82 |        -82 |          0 |        -10 |        -43 |         61 |         71 |         71 |        -19 |        -19
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1046263 |    1036960 |    1029349 |    1028634 |    1027077 |    1027330 |    1036803 |    1036905 |    1028962
  num incorrect                      |       8006 |       7955 |       7907 |       7851 |       7845 |       7835 |       7838 |       7905 |       7907 |       7849
  misprediction rate                 |      0.75% |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2823164 |    2790695 |    2766370 |    2763111 |    2759248 |    2759951 |    2789680 |    2790320 |    2764922
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778126 |   15420787 |   15206480 |   15049252 |   15024612 |   15003579 |   15007833 |   15198088 |   15203339 |   15039021
    num misses                       |       6344 |       4814 |       4390 |       4390 |       4390 |       4389 |       4390 |       4390 |       4390 |       4390
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.17 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       4875 |       4451 |       4451 |       4451 |       4450 |       4451 |       4451 |       4451 |       4451
    num misses                       |        333 |        316 |        308 |        308 |        308 |        308 |        308 |        308 |        308 |        308
    miss rate                        |      5.20% |      6.48% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92% |      6.92%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2823164 |    2790695 |    2766370 |    2763111 |    2759248 |    2759951 |    2789680 |    2790320 |    2764922
    num cache misses                 |    1293506 |    1385643 |    1445497 |    1464331 |    1455968 |    1459649 |    1450949 |    1461529 |    1450234 |    1444226
    miss rate                        |     44.97% |     49.08% |     51.80% |     52.93% |     52.69% |     52.90% |     52.57% |     52.39% |     51.97% |     52.23%
    mpki                             |      44.98 |      49.36 |      52.19 |      53.36 |      53.14 |      53.34 |      53.01 |      52.80 |      52.37 |      52.66
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778126 |   15420787 |   15206480 |   15049252 |   15024612 |   15003579 |   15007833 |   15198088 |   15203339 |   15039021
    num cache misses                 |     877933 |     899394 |     910392 |     899734 |     909940 |     911253 |     905032 |     912145 |     916811 |     906319
    miss rate                        |      5.56% |      5.83% |      5.99% |      5.98% |      6.06% |      6.07% |      6.03% |      6.00% |      6.03% |      6.03%
    mpki                             |      30.53 |      32.04 |      32.87 |      32.79 |      33.21 |      33.30 |      33.06 |      32.95 |      33.11 |      33.05
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2172623 |    2285881 |    2356511 |    2364712 |    2366542 |    2371513 |    2356609 |    2374619 |    2367779 |    2351173
    num cache misses                 |    1077991 |    1122204 |    1155439 |    1158547 |    1165774 |    1173657 |    1169823 |    1166534 |    1174259 |    1169021
    miss rate                        |     49.62% |     49.09% |     49.03% |     48.99% |     49.26% |     49.49% |     49.64% |     49.13% |     49.59% |     49.72%
    mpki                             |      37.48 |      39.98 |      41.72 |      42.22 |      42.55 |      42.89 |      42.74 |      42.14 |      42.41 |      42.63
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1079196 |    1123064 |    1156081 |    1159206 |    1166425 |    1174275 |    1170460 |    1167498 |    1175006 |    1169668
    num cache misses                 |      30856 |      31084 |      30878 |      34464 |      34457 |      34431 |      34369 |      26749 |      27244 |      34435
    miss rate                        |      2.86% |      2.77% |      2.67% |      2.97% |      2.95% |      2.93% |      2.94% |      2.29% |      2.32% |      2.94%
    mpki                             |       1.07 |       1.11 |       1.11 |       1.26 |       1.26 |       1.26 |       1.26 |       0.97 |       0.98 |       1.26
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     410660 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      58.97 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       5.54 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      25644 |      26505 |      26773 |      30243 |      30201 |      30106 |      30033 |      22682 |      23104 |      30255
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
