                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   40121656 |   40121558 |   40121573 |   40121550 |   40121500 |   40121452 |   40121359 |   40121319 |   40121260 |   40121263 |   40121168
  Cycles                             |  147055174 |  147055174 |  147055174 |  147055174 |  147055174 |  147055174 |  147055174 |  147055174 |  147055174 |  147055174 |  147055174
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |   55283900 |   55283900 |   55283900 |   55283900 |   55283900 |   55283900 |   55283900 |   55283900 |   55283900 |   55283900 |   55283900
  Idle time (ns)                     |       -117 |         18 |        -18 |        -57 |        -57 |        -78 |        -19 |        -46 |        -24 |       -117 |        -46
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10022008 |   10022003 |   10022005 |   10022001 |   10021997 |   10021986 |   10021980 |   10021974 |   10021965 |   10021965 |   10021958
  num incorrect                      |       1517 |       1511 |       1512 |       1510 |       1504 |       1499 |       1488 |       1484 |       1479 |       1476 |       1472
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15334 |      15324 |      15327 |      15324 |      15315 |      15298 |      15283 |      15274 |      15263 |      15256 |      15248
    num misses                       |         52 |         51 |         51 |         51 |         51 |         51 |         50 |         50 |         50 |         50 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40221 |      40229 |      40233 |      40223 |      40196 |      40175 |      40128 |      40107 |      40076 |      40029 |      40034
    num misses                       |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         75 |         75
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        128 |        127 |        127 |        127 |        127 |        127 |        126 |        126 |        126 |        125 |        124
    num misses                       |        121 |        120 |        120 |        120 |        120 |        120 |        119 |        119 |        119 |        118 |        117
