                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28743713 |   28758339 |   28759604 |   28759933 |   28751645 |   28751722 |   28747629 |   28740243 |   28744451 |   28749008 |   28758237
  Cycles                             |  131705644 |  131705644 |  131705644 |  131705644 |  131705644 |  131705644 |  131705644 |  131705644 |  131705644 |  131705644 |  131705644
  IPC                                |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  Time (ns)                          |   49513400 |   49513400 |   49513400 |   49513400 |   49513400 |   49513400 |   49513400 |   49513400 |   49513400 |   49513400 |   49513400
  Idle time (ns)                     |        -33 |        149 |         56 |        -33 |        119 |        110 |         13 |        110 |         13 |         97 |         45
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059350 |    1059635 |    1059682 |    1059719 |    1059505 |    1059506 |    1059427 |    1059284 |    1059365 |    1059454 |    1059633
  num incorrect                      |       7955 |       7955 |       7979 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2875014 |    2876144 |    2876275 |    2876325 |    2875628 |    2875633 |    2875317 |    2874748 |    2875072 |    2875424 |    2876136
    num misses                       |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15769749 |   15777360 |   15778015 |   15778128 |   15773883 |   15773921 |   15771787 |   15767960 |   15770142 |   15772511 |   15777307
    num misses                       |       6296 |       6330 |       6342 |       6344 |       6316 |       6317 |       6306 |       6290 |       6298 |       6309 |       6329
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22 |       0.22
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6357 |       6391 |       6403 |       6407 |       6377 |       6378 |       6367 |       6351 |       6359 |       6370 |       6390
    num misses                       |        320 |        321 |        329 |        333 |        321 |        321 |        321 |        320 |        320 |        321 |        321
    miss rate                        |      5.03% |      5.02% |      5.14% |      5.20% |      5.03% |      5.03% |      5.04% |      5.04% |      5.03% |      5.04% |      5.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
