                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   70121716 |   70121425 |   35132211 |     120718
  Cycles                             |  250687710 |  250687710 |  250687710 |  250687710
  IPC                                |       0.28 |       0.28 |       0.14 |       0.00
  Time (ns)                          |   94243500 |   94243500 |   94243500 |   94243500
  Idle time (ns)                     |       -159 |        -55 |       -159 |        154
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |   10022008 |   10021976 |    5023542 |      21910
  num incorrect                      |       1519 |       1488 |       1443 |       1439
  misprediction rate                 |      0.02% |      0.01% |      0.03% |      6.16%
  mpki                               |       0.02 |       0.02 |       0.04 |      11.92
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15340 |      15284 |      15171 |      15162
    num misses                       |         52 |         50 |         48 |         47
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.39
  D-TLB                              |            |            |            |           
    num accesses                     |   60040234 |   60040118 |   30049652 |      39824
    num misses                       |         80 |         80 |         79 |         79
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.20%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.65
  L2 TLB                             |            |            |            |           
    num accesses                     |        132 |        130 |        127 |        126
    num misses                       |        121 |        119 |        116 |        115
    miss rate                        |     91.67% |     91.54% |     91.34% |     91.27%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.95
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15340 |      15284 |      15171 |      15162
    num cache misses                 |       1615 |       1567 |       1496 |       1432
    miss rate                        |     10.53% |     10.25% |      9.86% |      9.44%
    mpki                             |       0.02 |       0.02 |       0.04 |      11.86
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   60040234 |   60040118 |   30049652 |      39824
    num cache misses                 |       2619 |       2627 |       2586 |       2554
    miss rate                        |      0.00% |      0.00% |      0.01% |      6.41%
    mpki                             |       0.04 |       0.04 |       0.07 |      21.16
  Cache L2                           |            |            |            |           
    num cache accesses               |       4271 |       4228 |       4116 |       4019
    num cache misses                 |       2832 |       2771 |       2741 |       2733
    miss rate                        |     66.31% |     65.54% |     66.59% |     68.00%
    mpki                             |       0.04 |       0.04 |       0.08 |      22.64
  Cache L3                           |            |            |            |           
    num cache accesses               |       2870 |       2807 |       2777 |       2768
    num cache misses                 |       2482 |       2449 |       2416 |       2411
    miss rate                        |     86.48% |     87.25% |     87.00% |     87.10%
    mpki                             |       0.04 |       0.03 |       0.07 |      19.97
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9758 |          0 |          0 |          0
  average dram access latency (ns)   |      68.46 |        inf |        inf |        inf
  average dram queueing delay        |      15.03 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1129 |       1123 |       1125 |       1125
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
