                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   50121658 |   50121167 |   50120887
  Cycles                             |  120475922 |  120475922 |  120475922
  IPC                                |       0.42 |       0.42 |       0.42
  Time (ns)                          |   45291700 |   45291700 |   45291700
  Idle time (ns)                     |        -21 |        -21 |        382
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |           
  num correct                        |   10022009 |   10021958 |   10021928
  num incorrect                      |       1517 |       1472 |       1453
  misprediction rate                 |      0.02% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15334 |      15248 |      15189
    num misses                       |         52 |         49 |         49
    miss rate                        |      0.34% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   60040216 |   60040027 |   60039918
    num misses                       |        128 |        126 |        126
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        180 |        175 |        175
    num misses                       |        121 |        117 |        117
    miss rate                        |     67.22% |     66.86% |     66.86%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15334 |      15248 |      15189
    num cache misses                 |       1434 |       1433 |       1359
    miss rate                        |      9.35% |      9.40% |      8.95%
    mpki                             |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |           
    num cache accesses               |   60040216 |   60040027 |   60039918
    num cache misses                 |       2246 |       2234 |       2235
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.04 |       0.04 |       0.04
  Cache L2                           |            |            |           
    num cache accesses               |       3720 |       3707 |       3634
    num cache misses                 |       2706 |       2701 |       2686
    miss rate                        |     72.74% |     72.86% |     73.91%
    mpki                             |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |           
    num cache accesses               |       2748 |       2741 |       2727
    num cache misses                 |       2476 |       2432 |       2426
    miss rate                        |     90.10% |     88.73% |     88.96%
    mpki                             |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |           
  num dram accesses                  |       7334 |          0 |          0
  average dram access latency (ns)   |      70.45 |        inf |        inf
  average dram queueing delay        |      17.02 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1131 |       1125 |       1123
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
