                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   40080708 |   40086972 |   40084221 |   40080173 |   40121631 |   40086757 |   40105117 |   40092077 |   40121056 |   40082324 |   40079260 |   40107060 |   40079880 |   40082653 |   40081964
  Cycles                             |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632 |  201056632
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200 |   75585200
  Idle time (ns)                     |         98 |         75 |         35 |         10 |        -47 |         49 |         29 |        -47 |        351 |         -2 |         98 |         18 |        142 |         75 |        141
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   10011918 |   10013484 |   10012797 |   10011785 |   10022008 |   10013431 |   10018021 |   10014761 |   10021942 |   10012322 |   10011556 |   10018506 |   10011712 |   10012404 |   10012233
  num incorrect                      |       1441 |       1441 |       1441 |       1441 |       1517 |       1441 |       1441 |       1441 |       1469 |       1441 |       1441 |       1441 |       1441 |       1441 |       1441
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15165 |      15165 |      15165 |      15165 |      15334 |      15165 |      15165 |      15165 |      15224 |      15165 |      15165 |      15165 |      15165 |      15165 |      15165
    num misses                       |         48 |         48 |         48 |         48 |         52 |         48 |         48 |         48 |         49 |         48 |         48 |         48 |         48 |         48 |         48
