                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |   77195234 |   77268011 |   77537035 |   77824075 |   77616505 |   78046405 |   77660397 |   77879497 |   78162747 |   77709152 |   77765505 |   78256754 |   77750201
  Cycles                             |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870 |  621028870
  IPC                                |       0.12 |       0.12 |       0.12 |       0.13 |       0.12 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500 |  233469500
  Idle time (ns)                     |         67 |        -10 |        164 |        136 |         41 |        164 |        161 |        136 |        216 |        118 |        251 |        -10 |        136
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2142831 |    2144822 |    2152186 |    2160044 |    2154361 |    2166128 |    2155564 |    2161560 |    2169313 |    2156897 |    2158440 |    2171907 |    2158022
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8409685 |    8417590 |    8446816 |    8478000 |    8455449 |    8502150 |    8460218 |    8484019 |    8514790 |    8465512 |    8471635 |    8525013 |    8469974
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35567605 |   35601056 |   35724753 |   35856742 |   35761302 |   35958966 |   35781478 |   35882226 |   36012460 |   35803900 |   35829810 |   36055633 |   35822776
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        114 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        112 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8409685 |    8417590 |    8446816 |    8478000 |    8455449 |    8502150 |    8460218 |    8484019 |    8514790 |    8465512 |    8471635 |    8525013 |    8469974
    num cache misses                 |    2876354 |    2838148 |    2822313 |    2813012 |    2794835 |    2797507 |    2777009 |    2777446 |    2780761 |    2761333 |    2759261 |    2771601 |    2753089
    miss rate                        |     34.20% |     33.72% |     33.41% |     33.18% |     33.05% |     32.90% |     32.82% |     32.74% |     32.66% |     32.62% |     32.57% |     32.51% |     32.50%
    mpki                             |      37.26 |      36.73 |      36.40 |      36.15 |      36.01 |      35.84 |      35.76 |      35.66 |      35.58 |      35.53 |      35.48 |      35.42 |      35.41
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   35567605 |   35601056 |   35724753 |   35856742 |   35761302 |   35958966 |   35781478 |   35882226 |   36012460 |   35803900 |   35829810 |   36055633 |   35822776
    num cache misses                 |   15076626 |   15120444 |   15172880 |   15167052 |   15205383 |   15206173 |   15221766 |   15224763 |   15212008 |   15234722 |   15237817 |   15202036 |   15240114
    miss rate                        |     42.39% |     42.47% |     42.47% |     42.30% |     42.52% |     42.29% |     42.54% |     42.43% |     42.24% |     42.55% |     42.53% |     42.16% |     42.54%
    mpki                             |     195.31 |     195.69 |     195.69 |     194.89 |     195.90 |     194.84 |     196.00 |     195.49 |     194.62 |     196.05 |     195.95 |     194.26 |     196.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   17953000 |   17958609 |   17995211 |   17980081 |   18000235 |   18003694 |   17998788 |   18002223 |   17992787 |   17996066 |   17997090 |   17973660 |   17993215
    num cache misses                 |   16039141 |   16078791 |   16067383 |   15993735 |   16104227 |   15958770 |   16121307 |   16056934 |   15929771 |   16126581 |   16108774 |   15887607 |   16122086
    miss rate                        |     89.34% |     89.53% |     89.29% |     88.95% |     89.47% |     88.64% |     89.57% |     89.19% |     88.53% |     89.61% |     89.51% |     88.39% |     89.60%
    mpki                             |     207.77 |     208.09 |     207.22 |     205.51 |     207.48 |     204.48 |     207.59 |     206.18 |     203.80 |     207.52 |     207.15 |     203.02 |     207.36
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16039164 |   16078811 |   16067408 |   15993754 |   16104251 |   15958789 |   16121324 |   16056948 |   15929792 |   16126596 |   16108787 |   15887635 |   16122101
    num cache misses                 |       4815 |       4842 |       4931 |       4977 |       4820 |       4646 |       4658 |       4707 |       4732 |       4776 |       4842 |       5235 |       4770
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.07 |       0.06
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      63613 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      64.32 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.89 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1928 |       2020 |       1929 |       1889 |       1985 |       1920 |       1976 |       1960 |       1934 |       1970 |       1910 |       1924 |       1960
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
