                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |   28759913 |   28011579 |   28013884 |   28058396 |   28140635 |   27945852 |   27961530 |   27915105 |   27933738 |   27977583 |   27895197
  Cycles                             |  168125034 |  168125034 |  168125034 |  168125034 |  168125034 |  168125034 |  168125034 |  168125034 |  168125034 |  168125034 |  168125034
  IPC                                |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17 |       0.17
  Time (ns)                          |   63204900 |   63204900 |   63204900 |   63204900 |   63204900 |   63204900 |   63204900 |   63204900 |   63204900 |   63204900 |   63204900
  Idle time (ns)                     |        -81 |        -81 |        261 |         42 |        235 |        136 |        145 |         42 |         39 |        157 |         27
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059719 |    1045078 |    1045124 |    1045991 |    1047595 |    1043799 |    1044104 |    1043199 |    1043562 |    1044416 |    1042889
  num incorrect                      |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7951
  misprediction rate                 |      0.75% |      0.76% |      0.76% |      0.75% |      0.75% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76% |      0.76%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2876325 |    2818476 |    2818655 |    2822092 |    2828444 |    2813403 |    2814613 |    2811028 |    2812467 |    2815852 |    2809562
    num misses                       |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   15778122 |   15389240 |   15390452 |   15413585 |   15456329 |   15355096 |   15363245 |   15339120 |   15348794 |   15371588 |   15328216
    num misses                       |       6344 |       4677 |       4684 |       4787 |       4966 |       4537 |       4575 |       4466 |       4509 |       4608 |       4391
    miss rate                        |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.22 |       0.17 |       0.17 |       0.17 |       0.18 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       6407 |       4738 |       4745 |       4848 |       5027 |       4598 |       4636 |       4527 |       4570 |       4669 |       4452
    num misses                       |        333 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        316 |        308
    miss rate                        |      5.20% |      6.67% |      6.66% |      6.52% |      6.29% |      6.87% |      6.82% |      6.98% |      6.91% |      6.77% |      6.92%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2876325 |    2818476 |    2818655 |    2822092 |    2828444 |    2813403 |    2814613 |    2811028 |    2812467 |    2815852 |    2809562
    num cache misses                 |    1521997 |    1604065 |    1596502 |    1598533 |    1580015 |    1576711 |    1564428 |    1569948 |    1567606 |    1574201 |    1573622
    miss rate                        |     52.91% |     56.91% |     56.64% |     56.64% |     55.86% |     56.04% |     55.58% |     55.85% |     55.74% |     55.90% |     56.01%
    mpki                             |      52.92 |      57.26 |      56.99 |      56.97 |      56.15 |      56.42 |      55.95 |      56.24 |      56.12 |      56.27 |      56.41
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15778122 |   15389240 |   15390452 |   15413585 |   15456329 |   15355096 |   15363245 |   15339120 |   15348794 |   15371588 |   15328216
    num cache misses                 |    1577248 |    1580703 |    1600564 |    1560699 |    1592428 |    1594843 |    1595833 |    1587941 |    1576787 |    1594705 |    1608844
    miss rate                        |     10.00% |     10.27% |     10.40% |     10.13% |     10.30% |     10.39% |     10.39% |     10.35% |     10.27% |     10.37% |     10.50%
    mpki                             |      54.84 |      56.43 |      57.13 |      55.62 |      56.59 |      57.07 |      57.07 |      56.88 |      56.45 |      57.00 |      57.67
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3100081 |    3185529 |    3197789 |    3159891 |    3173206 |    3172286 |    3161012 |    3158617 |    3145128 |    3169655 |    3183183
    num cache misses                 |    2091507 |    2159432 |    2183396 |    2148109 |    2169856 |    2189845 |    2190272 |    2188027 |    2173515 |    2191963 |    2215517
    miss rate                        |     67.47% |     67.79% |     68.28% |     67.98% |     68.38% |     69.03% |     69.29% |     69.27% |     69.11% |     69.15% |     69.60%
    mpki                             |      72.72 |      77.09 |      77.94 |      76.56 |      77.11 |      78.36 |      78.33 |      78.38 |      77.81 |      78.35 |      79.42
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2092368 |    2160203 |    2184133 |    2148784 |    2170632 |    2190595 |    2191040 |    2188776 |    2174269 |    2192729 |    2216252
