                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   78256709 |   76576964 |   75775445 |   75690000 |   75850494 |   76289856 |   76272126 |   75813130 |   76192286 |   76146714
  Cycles                             |  355421220 |  355421220 |  355421220 |  355421220 |  355421220 |  355421220 |  355421220 |  355421220 |  355421220 |  355421220
  IPC                                |       0.22 |       0.22 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |  133617000 |  133617000 |  133617000 |  133617000 |  133617000 |  133617000 |  133617000 |  133617000 |  133617000 |  133617000
  Idle time (ns)                     |        -19 |        -19 |         50 |        131 |         99 |         23 |         27 |         98 |         82 |         17
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171907 |    2125908 |    2103968 |    2101629 |    2106024 |    2118049 |    2117564 |    2104999 |    2115378 |    2114131
  num incorrect                      |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8525013 |    8342520 |    8255448 |    8246164 |    8263602 |    8311330 |    8309405 |    8259540 |    8300730 |    8295780
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36055612 |   35283320 |   34914798 |   34875510 |   34949299 |   35151310 |   35143169 |   34932124 |   35106458 |   35085506
    num misses                       |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
