                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9893031 |    9892213 |    9893054 |    9891034
  Cycles                             |   16190356 |   16190356 |   16190356 |   16190356
  IPC                                |       0.61 |       0.61 |       0.61 |       0.61
  Time (ns)                          |    6086600 |    6086600 |    6086600 |    6086600
  Idle time (ns)                     |         96 |         10 |         -4 |         -4
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     287359 |     287314 |     287362 |     287282
  num incorrect                      |       1011 |        974 |       1015 |        974
  misprediction rate                 |      0.35% |      0.34% |      0.35% |      0.34%
  mpki                               |       0.10 |       0.10 |       0.10 |       0.10
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1086221 |    1086114 |    1086228 |    1085986
    num misses                       |         42 |         40 |         43 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4564581 |    4564251 |    4564593 |    4563703
    num misses                       |         32 |         32 |         32 |         32
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |           
    num accesses                     |         74 |         72 |         75 |         72
    num misses                       |         74 |         72 |         75 |         72
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1086221 |    1086114 |    1086228 |    1085986
    num cache misses                 |        744 |        710 |        743 |        633
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.06%
    mpki                             |       0.08 |       0.07 |       0.08 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4564581 |    4564251 |    4564593 |    4563703
    num cache misses                 |     253851 |     249746 |     250404 |     218660
    miss rate                        |      5.56% |      5.47% |      5.49% |      4.79%
    mpki                             |      25.66 |      25.25 |      25.31 |      22.11
  Cache L2                           |            |            |            |           
    num cache accesses               |     254616 |     250473 |     251169 |     219311
    num cache misses                 |       1571 |       1522 |       1581 |       1522
    miss rate                        |      0.62% |      0.61% |      0.63% |      0.69%
    mpki                             |       0.16 |       0.15 |       0.16 |       0.15
  Cache L3                           |            |            |            |           
    num cache accesses               |       1595 |       1542 |       1605 |       1542
    num cache misses                 |       1511 |       1476 |       1522 |       1476
    miss rate                        |     94.73% |     95.72% |     94.83% |     95.72%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15
DRAM summary                         |            |            |            |           
  num dram accesses                  |       5985 |          0 |          0 |          0
  average dram access latency (ns)   |      71.96 |        inf |        inf |        inf
  average dram queueing delay        |      18.53 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        165 |        157 |        168 |        156
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
