                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   28747770 |   28752165 |   28752440 |   28744600 |   28753637 |   28759955 |   28753371 |   28753737 |   28751529 |   28745298 |   28748513 |   28755477 |   28751838 |   28750296 |   28753062 |   28749565
  Cycles                             |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126 |  191443126
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100 |   71971100
  Idle time (ns)                     |        -59 |        102 |         31 |        -38 |        128 |        -59 |         31 |        -12 |        171 |        102 |        171 |        -19 |        -38 |        160 |         28 |        178
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1059430 |    1059515 |    1059520 |    1059367 |    1059545 |    1059719 |    1059540 |    1059547 |    1059502 |    1059381 |    1059445 |    1059580 |    1059508 |    1059479 |    1059534 |    1059465
  num incorrect                      |       7955 |       7955 |       7955 |       7955 |       7955 |       8006 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955 |       7955
  misprediction rate                 |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75% |      0.75%
  mpki                               |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    2875329 |    2875667 |    2875688 |    2875082 |    2875783 |    2876325 |    2875762 |    2875790 |    2875617 |    2875137 |    2875386 |    2875924 |    2875641 |    2875524 |    2875738 |    2875467
    num misses                       |         61 |         61 |         61 |         61 |         61 |         63 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61 |         61
