                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   12621628 |   12621624 |   12621583 |   12621648 |   12621498 |   12621477 |   12621494 |   12621355 |   12621302 |   12621286 |   12621337 |   12621241 |   12621192 |   12621056 |   12620993
  Cycles                             |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370 |   63027370
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500 |   23694500
  Idle time (ns)                     |        128 |         47 |        157 |        -15 |        153 |        108 |        -15 |        157 |        125 |        108 |        -15 |         86 |         47 |        176 |        170
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2522009 |    2522009 |    2522005 |    2522009 |    2521996 |    2521989 |    2521994 |    2521978 |    2521970 |    2521969 |    2521975 |    2521965 |    2521959 |    2521941 |    2521934
  num incorrect                      |       1516 |       1516 |       1511 |       1516 |       1501 |       1499 |       1500 |       1486 |       1480 |       1478 |       1485 |       1475 |       1471 |       1468 |       1464
  misprediction rate                 |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
  mpki                               |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15332 |      15331 |      15325 |      15333 |      15309 |      15300 |      15307 |      15279 |      15267 |      15264 |      15276 |      15255 |      15249 |      15223 |      15210
    num misses                       |         52 |         51 |         51 |         52 |         51 |         51 |         51 |         50 |         50 |         50 |         50 |         50 |         49 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40247 |      40247 |      40233 |      40215 |      40192 |      40183 |      40192 |      40120 |      40096 |      40088 |      40108 |      40058 |      40041 |      39981 |      39962
