                                     | Core 0     | Core 1    
  Instructions                       |   40121626 |   40121286
  Cycles                             |   30626176 |   30626176
  IPC                                |       1.31 |       1.31
  Time (ns)                          |   11513600 |   11513600
  Idle time (ns)                     |       -454 |       -454
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   10022008 |   10021964
  num incorrect                      |       1517 |       1475
  misprediction rate                 |      0.02% |      0.01%
  mpki                               |       0.04 |       0.04
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15334 |      15256
    num misses                       |         52 |         50
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |      40202 |      40038
    num misses                       |         76 |         75
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.00 |       0.00
  L2 TLB                             |            |           
    num accesses                     |        128 |        125
    num misses                       |        121 |        118
    miss rate                        |     94.53% |     94.40%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15334 |      15256
    num cache misses                 |        959 |        943
    miss rate                        |      6.25% |      6.18%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |      40202 |      40038
    num cache misses                 |       1943 |       1935
    miss rate                        |      4.83% |      4.83%
    mpki                             |       0.05 |       0.05
  Cache L2                           |            |           
    num cache accesses               |       2941 |       2916
    num cache misses                 |       2545 |       2511
    miss rate                        |     86.54% |     86.11%
    mpki                             |       0.06 |       0.06
  Cache L3                           |            |           
    num cache accesses               |       2585 |       2550
    num cache misses                 |       2477 |       2440
    miss rate                        |     95.82% |     95.69%
    mpki                             |       0.06 |       0.06
DRAM summary                         |            |           
  num dram accesses                  |       4917 |          0
  average dram access latency (ns)   |      66.28 |        inf
  average dram queueing delay        |      12.85 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1115
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
